,Node_0,Node_1,Node_2,Node_3,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.978,0.085,3.865,0.852,0.14935413,0.27054742,0.040407375
Pareto solution 1,1.2114999696454696,0.7649999746329854,2.655000005844961,1.1484999757495817,0.14935414,0.27054736,0.04040737
