,Node_0,Node_1,Node_2,Node_3,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,7.819,0.451,8.893,0.298,0.15438633,0.25235325,0.03895989
Pareto solution 1,6.092124733809669,2.4081248470156424,6.629124525145016,2.3316247876309717,0.15438633,0.25235322,0.038959887
