,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,7.367,7.673,123.735,16.199,1.19,149.058,127.259,0.891,1.514,2.88,0.643,6.387,74.946,10.238,0.117,0.443,1.631,2.366,1.997,0.19180906,0.2551026,0.04893099
Pareto solution 1,2.1490933013246405,2.5315911082517175,147.60908934385242,13.189090832237454,-5.572157610960716,179.26283802355965,152.01409324865142,-5.945906236600507,-5.167158423122913,-3.459657205385696,-6.255907547563197,0.9240934971928709,86.62284318095831,5.7378416681939655,-6.913405782720929,-6.505909514444653,-5.020907671986748,-4.102161388986275,-4.563409781135761,0.19180904,0.25510263,0.04893099
Pareto solution 2,17.80281642490155,17.955816198424486,75.9868159264995,22.218815871101413,14.71431584307004,88.64831453071292,77.74881835608858,14.564816392814123,14.87631551820516,15.559316005300047,14.440816302263784,17.31281672016621,51.59231615983765,19.238315554731912,14.177817008200691,14.340815949345938,14.9348166863291,15.30231519952929,15.117815408834758,0.19180906,0.2551026,0.04893099
