,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.801,2.211,212.374,0.832,0.336,4.416,212.295,84.604,3.992,32.986,3.667,2.403,0.14282688,0.2642363,0.037740048
Pareto solution 1,-10.684522709884845,-8.922021771421896,253.78172273950986,-10.645770395884938,-11.265773308457824,-6.16577232738473,253.68297305309716,94.06922211011727,-6.69577137618171,29.546729873324665,-7.102021110694295,-8.682023609374369,0.14282691,0.26423627,0.03774005
Pareto solution 2,23.772040594568807,24.477041663745695,129.5585394681184,23.787542213960478,23.53954174272303,25.57954144136056,129.51903959355332,65.67353991015307,25.36754182184177,39.86454214819639,25.205041928036735,24.573041622356413,0.14282693,0.2642362,0.037740048
