,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,20.796,43.864,47.084,126.763,42.421,1318.901,1536.404,3440.577,34.601,143.676,0.17728029,0.2719239,0.048206747
Pareto solution 1,348.1523504626384,359.68633671350835,361.2963292997447,401.1358354900003,358.96485749204294,997.2048349245742,1105.9563549103186,2058.042850930593,355.054825452622,409.5923490166897,0.17728019,0.27192387,0.048206713
