,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,8.466,0.39,0.222,0.191,0.202,0.087,6.514,142.91,0.333,9.25,0.101,0.021,0.342,0.916,0.191,0.31,0.774,0.074,0.747,158.016,0.317,0.045,159.954,15.016,0.03,3.151,0.486,0.192,0.255,0.38,0.446,0.395,0.497,0.44,2.464,0.397,3.933,19.161,0.444,0.587,0.695,172.325,0.419,173.827,0.278,24.549,0.426,175.578,2.052,1.112,0.351,0.564,1.42,0.497,2.613,1.184,0.467,0.345,3.668,0.881,0.418,0.702,0.982,25.571,0.504,0.461,0.886,177.383,27.008,177.925,0.438,0.378,0.41,0.605,2.952,1.07,0.434,0.833,0.427,1.941,179.315,0.408,0.396,4.632,0.704,1.396,0.19477737,0.27493474,0.053551067
Pareto solution 1,11.320654622571169,5.26365510010848,5.137654177010759,5.11440491012992,5.122653917110938,5.036404856895288,9.856654152094904,112.15365523872697,5.220904674409184,11.908654634698784,5.046904981549673,4.986903751032088,5.227655927327987,5.658154165098978,5.11440491012992,5.2036538695908945,5.551655164492914,5.02665427748606,5.5314052241025,123.48315800718149,5.208903550081487,5.004904673850433,124.93665415280077,16.233154399282633,4.993655767624091,7.334404237052013,5.335654591179264,5.115154455375077,5.16240444356491,5.25615353827132,5.305654071379621,5.26740511735386,5.34390493458838,5.301155081643984,6.819155265882486,5.2689047805990725,7.920905254148465,19.34190417994598,5.304154980889308,5.411404863168627,5.492404815648584,134.214906270274,5.285405276499006,135.34140213397325,5.1796544847099995,23.382904546382353,5.290655720662798,136.65466191530413,6.510154952189282,5.805154573832269,5.234403934635694,5.394154822023538,6.036154070617641,5.34390493458838,6.930905283407242,5.859155242186006,5.321405785707597,5.229904372145157,7.722153385551806,5.631904998972814,5.284653822070851,5.497654496139177,5.707655270962178,24.149404100237465,5.349154615078973,5.3169048867889614,5.635654443463295,138.00840554027866,25.227154369515524,138.41490878428965,5.299654845643872,5.254654638699307,5.278654023580202,5.424904887068337,7.185154810746653,5.773654390787414,5.296654946398547,5.595905253437422,5.291404502234755,6.426905218464057,139.4574143421786,5.27715378758009,5.2681546625990165,8.445154686727165,5.499155495812488,6.018155247900594,0.19477734,0.27493468,0.053551044
Pareto solution 2,14.17530933476587,10.137309398566344,10.053309165004464,10.037809653750571,10.04330886445905,9.985809618260816,13.199309021115027,81.3973097455364,10.108809114766814,14.567309279211514,9.992809446806007,9.95280900829755,10.11331020460375,10.400309284342143,10.037809653750571,10.097308960057887,10.3293098233259,9.979309231987997,10.315809608507891,88.95031260940368,10.100808874330482,9.964809368952046,89.91931003981654,17.45030924954628,9.957310098134485,11.5178090777531,10.185309313837934,10.038309096022942,10.069809088149498,10.132308866457038,10.165308712747105,10.139809664620998,10.190809288219612,10.16230976809328,11.174309636361215,10.14080931283894,11.908809755817401,19.522809035704945,10.164309828202363,10.235809495164176,10.289809590763014,96.1048124696963,10.151810025275495,96.85580869393152,10.081309242858424,22.216809315793043,10.15530993954809,97.73131419658785,10.96830955451128,10.498309174994404,10.117809003421087,10.22430934045525,10.652309221354585,10.190809288219612,11.248809775323252,10.534309493284695,10.17580998291129,10.114809295094062,11.776308637365162,10.382809712979167,10.151309055656725,10.293309505035609,10.43330989430541,22.727809018363118,10.194309202492207,10.172809510911065,10.385309215360621,98.6338109648018,23.44630922970154,98.90481109101393,10.161309356202139,10.131309218239096,10.14730893543856,10.244809383818449,11.418309332937326,10.477308925685634,10.159309296093056,10.358809755343373,10.155809381820461,10.91280960474893,99.59981479627322,10.146308523547418,10.140309106893369,12.258309377536534,10.29430991692675,10.640309624373288,0.19477735,0.27493465,0.053551044
