,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,36.587,45.671,3.961,69.941,19.261,12736.05,2.438,3.862,0.13539958,0.27561846,0.037318625
Pareto solution 1,-357.9465183233842,-346.5916061042808,-398.7289151309269,-316.25420331703936,-379.6042376103542,15516.381115788594,-400.6328735889365,-398.8529215710514,0.13539958,0.27561843,0.03731862
