,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.79,5.138,4.278,0.304,0.356,0.794,0.569,1.187,0.551,8.471,0.119,0.501,0.864,2.298,0.044,2.832,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.253,0.0,0.006,0.0,0.0,0.197,0.197,0.004,0.003,0.0,0.012,0.0,0.0,0.063,0.004,0.172,0.172,0.0,0.0,0.222,0.006,0.092,0.0,0.07,0.0,0.196,0.214,0.0,0.014,0.085,0.444,0.027,801.879,801.912,0.045,0.005,0.512,0.657,0.526,0.137,796.15,0.554,0.005,1.222,0.274,0.0,0.125,0.463,0.18915698,0.27664733,0.052329775
Pareto solution 1,-14.040926250367193,-7.518926728131191,-8.808925459205057,-14.769925670138036,-14.691926104809681,-14.034928024942928,-14.372426666493993,-13.445426957208838,-14.399425471347058,-2.5194262083387002,-15.047428476558707,-14.474428187444573,-13.929925127798924,-11.77892980191973,-15.159928023742395,-10.977929042244796,-15.225926611259638,-15.224428186644218,-15.225926611259638,-15.225926611259638,-15.225926611259638,-15.225926611259638,-15.225926611259638,-15.225926611259638,-15.225926611259638,-15.225926611259638,-15.225926611259638,-15.225926611259638,-15.225926611259638,-15.026427897129906,-15.225926611259638,-15.225926611259638,-14.846426810850971,-15.225926611259638,-15.21692700964195,-15.225926611259638,-15.225926611259638,-14.930429128566175,-14.930429128566175,-15.219928385835374,-15.221426810450794,-15.225926611259638,-15.207927408024261,-15.225926611259638,-15.225926611259638,-15.131426267311326,-15.219928385835374,-14.967925959652348,-14.967925959652348,-15.225926611259638,-15.225926611259638,-14.892927770517417,-15.21692700964195,-15.087926683838305,-15.225926611259638,-15.120928241078218,-15.225926611259638,-14.931927553181595,-14.904924221365945,-15.225926611259638,-15.204926031830837,-15.098429237033997,-14.559924402812612,-15.18542840398004,1187.5925997558516,1187.641997971572,-15.158425072164391,-15.218429961219954,-14.457927408824617,-14.240429491459508,-14.436926829395816,-15.020425144743058,1178.9991934369318,-14.394925670538214,-15.218429961219954,-13.392927772118128,-14.814928205189062,-15.225926611259638,-15.038428874941019,-14.531427173344127,0.18915698,0.2766473,0.052329767
Pareto solution 2,-6.625462757670903,-1.1904630614958478,-2.265462192680843,-7.232962179834885,-7.167962636372977,-6.620464142172295,-6.901713010131516,-6.129213441017328,-6.924212297110898,2.9757871830411204,-7.464214707142219,-6.986714371902053,-6.532961916509066,-4.7404655286745765,-7.557964141171851,-4.072964895612131,-7.612963058414607,-7.611714465546811,-7.612963058414607,-7.612963058414607,-7.612963058414607,-7.612963058414607,-7.612963058414607,-7.612963058414607,-7.612963058414607,-7.612963058414607,-7.612963058414607,-7.612963058414607,-7.612963058414607,-7.446714035661444,-7.612963058414607,-7.612963058414607,-7.296713130428998,-7.612963058414607,-7.605463296088146,-7.612963058414607,-7.612963058414607,-7.3667149675466135,-7.3667149675466135,-7.607964442916,-7.6092133187189575,-7.612963058414607,-7.597963816696847,-7.612963058414607,-7.612963058414607,-7.5342128661027346,-7.607964442916,-7.397962609720253,-7.397962609720253,-7.612963058414607,-7.612963058414607,-7.335463930151036,-7.605463296088146,-7.49796321320855,-7.612963058414607,-7.525464510908478,-7.612963058414607,-7.367963843349571,-7.3454611611482505,-7.612963058414607,-7.5954626698689935,-7.5067152465599065,-7.057961406665527,-7.579214552348276,994.735808914178,994.7769771119201,-7.556711870146955,-7.606715850048204,-6.972963723052089,-6.791715458581166,-6.955463051571314,-7.441712024940898,987.5746339637699,-6.920462274480087,-7.606715850048204,-6.085464025796682,-7.270464386689127,-7.612963058414607,-7.456714944815758,-7.034213526818348,0.189157,0.27664727,0.052329767
