,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.113,0.0,0.943,0.233,32.16,34.976,2.175,1.233,38.183,42.858,0.81,0.052,4.078,1.184,4.397,0.144,880.506,0.127,0.376,0.312,0.408,6.043,0.695,1.562,0.0,0.667,0.144,0.136,0.147,0.025,1.568,0.708,0.0,1.624,0.684,0.386,1112.415,2.425,2.121,0.0,2.309,703.985,0.386,826.299,1148.302,0.357,0.024,0.0,762.923,1.025,43.377,0.002,0.0,797.757,805.914,0.061,0.167,0.0,0.016,0.147,0.191,1.34,0.411,0.798,0.162,3.341,9.283,1.291,2.261,0.041,0.76,6.598,0.353,1.175,1.119,2.324,24.731,263.685,0.751,0.74,0.563,17.22,0.348,34.707,43.477,0.037,0.798,34.109,0.064,0.621,4.863,2.506,0.73,0.0,51.164,0.312,99.86,0.822,1.059,3.24,0.383,0.527,9.88,0.941,0.005,121.553,4.183,929.195,7.344,5.91,2.307,942.916,1542.318,13.947,1538.176,1513.054,10.634,18.934,12.542,8.883,220.306,110.385,6.176,11.179,0.2694724,0.44746536,0.12057956
Pareto solution 1,60.21456318665332,60.158067919956466,60.62956432730334,60.27456447879149,76.2380695194729,77.64606373089964,61.24556610347145,60.77456703962116,79.24956564051331,81.58706776400595,60.56306310035825,60.184067659184166,62.19706792373063,60.75006425507627,62.356567460345104,60.23006454632923,500.411046586858,60.22156538914987,60.346063761667665,60.314066355322666,60.362062464840164,63.17956753914859,60.50556329828214,60.93906463216672,60.158067919956466,60.491563817482074,60.23006454632923,60.226066101584365,60.231566425205074,60.17056552188069,60.942068389918404,60.5120681572821,60.158067919956466,60.97006735151854,60.50006297466143,60.35106674179178,616.3655896460732,61.370566743678864,61.21856675305753,60.158067919956466,61.31256467391313,412.1505393982425,60.35106674179178,473.3075790353978,634.3090339192604,60.33656499330209,60.1700681783841,60.158067919956466,441.6195301936641,60.67056808271036,81.84656535068984,60.15906753114268,60.158067919956466,459.03659792812323,463.1150903549751,60.18856344742562,60.241567461260274,60.158067919956466,60.1660648094462,60.231566425205074,60.25356771968791,60.82806347275937,60.36356926790904,60.55706543324095,60.239065971198215,61.8285659379153,64.79956303333483,60.80356561240751,61.28856415705786,60.17856733556346,60.5380678965098,63.457065513473935,60.33456577092966,60.74556846683481,60.71756950523468,61.32006421990627,72.52356851761579,192.00056412610866,60.53356718407531,60.5280668604546,60.43956926321971,68.76806868454469,60.3320642808676,77.51156432232665,81.89656806886933,60.176568113191024,60.55706543324095,77.2125673212081,60.190065326301465,60.46856783600606,62.58956550220819,61.41106330720322,60.52306880452352,60.158067919956466,85.74006569358221,60.314066355322666,110.08806623221648,60.569065691668584,60.68756639706908,61.77806341414271,60.349569787108976,60.42156641348174,65.0980626909568,60.628564716117125,60.16056448582549,120.93456649637841,62.24956474568262,524.7555872643607,63.830068211723756,63.1130663122035,61.31156506272691,531.6160517885764,831.3170549370334,67.13156729530328,829.2460575269142,816.6850319963924,65.47506875814452,69.62506539206561,66.42906714427272,64.599566933196,170.31106462209254,115.3505667174112,63.246068766093686,65.74756867653878,0.2694725,0.44746536,0.120579615
