,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.284,4.657,9.823,0.329,1.042,1.525,31.742,0.651,37.153,0.697,0.729,3.15,35.46,0.545,0.696,0.938,0.292,2.078,27.902,0.215,54.012,21.241,1.583,3.788,0.526,0.328,10.387,0.955,4.018,9.33,15.774,72.343,8.067,2.468,9.772,22.365,2.163,1.128,0.491,0.493,1.856,88.541,1.578,3.064,4.871,8.06,8.102,90.638,3.03,19.637,0.16107325,0.32116112,0.051730465
Pareto solution 1,-5.879170545370698,0.6803313401117066,8.429330127887624,-5.811671842784563,-4.7421692261139015,-4.017670627790608,41.30782828599172,-5.32866979535504,49.42432938169486,-5.259669502865108,-5.211669743897801,-1.5801684908074094,46.884827756906134,-5.487668357959819,-5.26116981482005,-4.898168442757651,-5.867170605628871,-3.188169361854193,35.547831650937724,-5.982669067182314,74.71283114847438,25.556329108008867,-3.9306691477390814,-0.6231688235757247,-5.516169173308299,-5.813169598841796,9.27533035250741,-4.872670807216764,-0.27816863907492007,7.689830326938193,17.355830990010645,102.2093371631363,5.795330575068078,-2.6031703825168506,8.352830831520691,27.24233086532638,-3.0606696826100688,-4.613167956965981,-5.568668590191578,-5.565669244230548,-3.521170884562025,126.50633464361817,-3.938170707513791,-1.70916975995533,1.0013303671800031,5.784830947281193,5.847830630925785,129.6518268356249,-1.7601701428325214,23.15032904925846,0.16107324,0.3211611,0.051730458
