,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,26.324,105.207,22.538,12.304,23.336,18.451,338.53,44.156,16.708,160.84,128.117,114.018,28.283,17.314,32.569,341.126,28.773,2550.879,43.426,32.937,29.839,20.834,0.14829467,0.25633812,0.038013577
Pareto solution 1,107.17356616132565,146.6150677507967,105.28056544216088,100.16356556015853,105.67956441841307,103.2370677113704,263.27656414673584,116.08956558957107,102.36556994745115,174.4315641768901,158.07006800650515,151.02056369628735,108.1530692243341,102.66856247858595,110.2960629823665,264.5745715969897,108.39806599349322,1369.4509352286404,115.72456466735093,110.48006622772482,108.93106648466164,104.42856874344761,0.14829467,0.25633812,0.038013577
