,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.138,0.806,68.41,0.814,2.953,308.318,1.17,23.062,20.286,1.063,6.023,300.14,42.944,42.426,4.645,4.046,2.295,41.514,2.934,1.816,4.117,0.087,3.088,40.675,249.418,3.599,12.58,26.298,247.029,134.673,2.147,12.817,3.685,2.167,7.666,3.673,3.418,3.728,2.823,5.494,0.595,0.509,103.129,88.035,0.716,0.721,44.324,11.965,4.351,1.133,6.089,1.219,10.152,28.943,30.414,1.313,24.431,1.082,1.008,5.614,5.834,1.238,2.618,1.184,8.622,2.645,0.966,1.592,5.53,1.827,3.171,42.468,0.85,1.246,33.161,16.743,2.754,2.994,0.561,0.534,0.4,9.845,0.831,1.999,0.616,0.262,0.2,2.137,0.372,0.181,1.71,1.507,0.054,0.025,12.176,354.38,15.003,59.073,14.251,9.573,140.752,28.773,9.82,11.887,15.907,10.136,8.876,7.988,40.091,9.173,13.303,12.302,733.871,711.363,13.68,9.864,12.338,36.756,11.27,20.954,0.20863011,0.31225494,0.06514578
Pareto solution 1,-18.505349313588795,-17.50334941404526,83.90265606577441,-17.491346601983878,-14.282850131932719,443.7646666182882,-16.957353399647673,15.880652605408272,11.716650238513012,-17.117849982589632,-9.67785061288032,431.49770259001707,45.703651975919456,44.92664848906543,-11.744844258861121,-12.64334967006198,-15.269848125355566,43.55865131423195,-14.31134796132028,-15.988349970580657,-12.536849651835837,-18.581845519573562,-14.080346924688001,42.30015003377184,355.4146507731275,-13.313846702865703,0.15765261131446096,20.73465094336086,351.8311838799491,183.29715757553458,-15.491851879809929,0.5131514484407944,-13.18484704337061,-15.461848067568553,-7.213348287558347,-13.202848043550603,-13.585348380946925,-13.120347213623063,-14.477852386117092,-10.471349117060527,-17.819843938840222,-17.948850034159477,135.98114567088578,113.34015439587392,-17.638347261658964,-17.6308495265107,47.773652760739765,-0.7648487702729199,-12.185852673710542,-17.012849511393142,-9.57884832980244,-16.88384985189805,-3.484348102613694,24.702152313520116,26.90864968850576,-16.742853816165734,17.9341503281222,-17.08934571737791,-17.200350812517172,-10.291351986908921,-9.961351885110844,-16.855352022510488,-14.785346410822058,-16.936353305408375,-5.7793501269916305,-14.744852205197276,-17.263351095235066,-16.324351478409426,-10.417346116520548,-15.971848517430317,-13.955845906281866,44.98964877178332,-17.43735003726806,-16.843349210449105,31.029149906458713,6.402152592237599,-14.581343656547688,-14.221349396244477,-17.870847845320895,-17.91134848676984,-18.112345711160742,-3.9448506288485987,-17.465847866655622,-15.71384919844013,-17.788347015393356,-18.319347559494418,-18.412345218629525,-15.506847350106455,-18.15434589963934,-18.440849483841248,-16.147350224405045,-16.451848372962786,-18.631349879024583,-18.67484961453283,-0.4483510275658773,512.8576668400783,3.7921523721822723,69.8971538955218,2.664148689290869,-4.352849701573177,192.41563919406144,24.447152893067255,-3.982348958326156,-0.881845617706631,5.148151561822488,-3.5083505088243783,-5.39834933662496,-6.730352555878653,41.4241506996641,-4.9528487165107435,1.242153340785535,-0.25935017941219485,1082.09406012432,1048.3321384653173,1.8076499023927681,-3.916346363636876,-0.20534717887221632,36.42165185332751,-1.807346093353317,12.718650138056546,0.20863011,0.3122549,0.065145776
Pareto solution 2,-9.183674647914899,-8.34867473162862,76.15632956672843,-8.338672656403475,-5.664925598027509,376.0413384945696,-7.893678052963963,19.471326817169654,16.00132491179677,-8.027425339495267,-1.8274258647375063,365.8188684710103,44.32382625907572,43.67632342040387,-3.5499207038011775,-4.298674944975886,-6.487423925879881,42.53632572442943,-5.6886737891838095,-7.086175195408117,-4.209924929787434,-9.247421486235538,-5.496172657164237,41.48757466575932,302.4163258265877,-4.857422740471662,6.368826688011808,23.516325465650063,299.43010180664965,158.98508122710092,-6.67242692051218,6.665075920069924,-4.749922756066411,-6.647423743644367,0.22632607303080476,-4.7649238577090784,-5.083674138872681,-4.6961731661027954,-5.827427342434817,-2.4886746182210118,-8.612420437117095,-8.719925248390467,119.55507130656025,100.68757830922436,-8.461173340212383,-8.45492495942949,46.048826946612564,5.6000757378084955,-3.9174275820960247,-7.939925080911195,-1.7449238280929364,-7.832425096505943,3.3338263612310186,26.822576573929524,28.66132441993748,-7.714928265982678,21.182574952951178,-8.003671919231834,-8.09617603110155,-2.3386768756816707,-2.0636769249296094,-7.8086769053496425,-6.083672497101958,-7.876177840351545,1.421324674249405,-6.049927057588633,-8.148676266699795,-7.366176586011761,-2.4436721177710297,-7.07242425260884,-5.392421942572128,43.72882360572224,-8.293675385060624,-7.798674830124497,32.095074584804976,11.572576672114423,-5.913670201873316,-5.613674716794634,-8.654923424358316,-8.688674092978772,-8.856172048130531,2.950074256035265,-8.317423576216925,-6.857424686037348,-8.586172732752033,-9.028673454328924,-9.10617163768785,-6.684923279838955,-8.891172071116358,-9.129925057951283,-7.2186755410081105,-7.472423998139561,-9.288675119111389,-9.324924898701596,5.863823856731031,433.6188408246694,9.397576622814654,64.48507789226426,8.45757362077832,2.6100748946851127,166.58381617736597,26.610077023365555,2.9188255140576302,5.5025782308674,10.527575813435163,3.3138242219757785,1.7388251988086267,0.6288225160972161,40.75757522066953,2.110075715570474,7.272577497023875,6.021324563525766,907.9825040401456,879.8475650337605,7.743824631696569,2.973827676298697,6.0663270639757485,36.58882618834069,4.731327767455326,16.83632482808305,0.20863011,0.3122549,0.065145776
