,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,73.665,134.663,85.901,8.043,95.711,10.207,293.85,9.799,836.286,142.438,461.653,9.556,806.754,12.341,38.495,0.192,3.328,0.007,1.046,843.793,0.0,0.701,840.96,0.233,0.849,0.788,0.0,3.186,3.761,1.236,0.107,3.585,5.193,8.216,0.076,12.278,2.972,3.622,0.185,3.258,0.358,0.156,3.051,0.798,121.168,3.204,850.149,35.39,0.845,9.8,134.469,0.192,0.106,7.303,0.733,152.135,0.807,0.101,7.394,0.01,2.186,0.196,849.624,3.506,146.09,138.798,155.685,4.524,135.893,0.314,3.42,3.314,0.372,2.813,16.855,9.703,16.733,0.225,0.783,4.472,0.015,0.019,4.471,4.481,0.007,1.713,0.106,1.942,2.469,0.534,18.936,0.092,0.123,0.662,2.085,0.009,164.663,2.017,176.17,2.151,6.109,3.177,0.01,0.331,0.182,863.986,39.142,0.173,0.009,0.385,0.932,0.015,0.334,2.248,0.008,2.103,0.19014113,0.383521,0.07292312
Pareto solution 1,73.66500102132906,134.6629906905349,85.90100117266957,8.042998304122762,95.71099917134589,10.20699937660936,293.84999568401327,9.799002160298187,836.2859845411322,142.43800058459328,461.6530165844438,9.555999463441367,806.7540498571589,12.34099507875328,38.49499694005516,0.1920051536359324,3.3280002660831087,0.007000456466244032,1.0459934982179675,843.7930029955169,1.538467131467769e-08,0.7009987291439757,840.9600380680786,0.23300295212322908,0.8490006598833588,0.7880033411595377,1.538467131467769e-08,3.1859984959140775,3.7610060176717752,1.23599959794376,0.10699805764886605,3.5849977551151824,5.192998158054252,8.215995067666881,0.07599545178891276,12.278000244000964,2.9719963213977962,3.6220005215454876,0.18499862256646793,3.258004990249219,0.3580029985954525,0.15600114521987507,3.0510032568145107,0.7979924437989894,121.16799925406667,3.204000500122106,850.149001558384,35.38999986597702,0.8450056278263673,9.800000918312435,134.46899564874002,0.1920051536359324,0.10599929963461818,7.303000830401629,0.7330000930181768,152.1349954323199,0.8070041033818143,0.1010039870664059,7.394000474474183,0.010004342993852333,2.1859981241362902,0.19600018569292388,849.6239958822116,3.5059984321833326,146.0899988486119,138.79800264171536,155.68499553413346,4.5240008081691485,135.89300533749338,0.31400740356843926,3.41999866816991,3.314002428913909,0.37200083576465204,2.8130065300047136,16.855000678910415,9.703007203657421,16.733001473971854,0.22499766303951674,0.782994326118569,4.471999924058423,0.014998133065091679,0.01900077760694785,4.471001166044175,4.481005493653356,0.007000456466244032,1.7129994220624667,0.10599929963461818,1.9420012367561412,2.469002906460105,0.533996036182316,18.935998261426334,0.09199993996844569,0.12300254582839898,0.6620060591700394,2.0849941524545557,0.009005584979604464,164.66300032137156,2.016996392649162,176.17000047040676,2.1510004862193455,6.108997804344085,3.177000538804009,0.010004342993852333,0.33100303727735536,0.18199473603885963,863.9860386872897,39.14199725367524,0.17299677892879117,0.009005584979604464,0.38500143741657666,0.931996537369173,0.014998133065091679,0.33399931132009897,2.248001813359224,0.0079992144804919,2.103002246650476,0.19014105,0.3835209,0.072923064
Pareto solution 2,75.12738800581111,105.62638364924055,81.24538812905939,42.316385933537504,86.15038693808543,43.398387992277776,185.21988538473124,43.1943886228737,456.4378859032786,109.51388783502125,269.12139278995255,43.07288727444529,441.67190638131615,44.46538432085276,57.54238639337643,38.39088935829409,39.958887675766164,38.29838853220622,38.817885814330566,460.19138904048305,38.29488678916846,38.6453869072966,458.7749065767639,38.41138825753774,38.719386350169316,38.688887690807405,38.29488678916846,39.887887551930135,40.17538979031201,38.912886580448,38.34838733279753,40.0873864202822,40.891386621751735,42.40288507655805,38.332885268619066,44.433886903476605,39.780886464671994,40.10588780349735,38.38738761525633,39.923888515352246,38.47388980327082,38.37288735408606,39.820389171131865,38.69388452587259,98.87888716975795,39.89688855403415,463.36938832191663,55.989887095088875,38.71738883414082,43.19488800188083,105.52938536709462,38.39088935829409,38.347887953790405,41.94638871917391,38.661388350482184,114.36238602013304,38.698388071918544,38.34538801376084,41.991887018713214,38.299889714221536,39.38788736604124,38.392886874322585,463.1068854838304,40.047886758816276,111.33988544453359,107.69388886358229,116.13738607103983,40.556887946809184,106.2413902114713,38.451889722011856,40.00488535431259,39.95189027967854,38.48088719935845,39.701390807726966,46.7223886434283,43.14639038330483,46.661388279710536,38.407387135492854,38.686384705783894,40.530886743505334,38.302386609257155,38.3043871702796,40.53038736449821,40.53539028955129,38.29838853220622,39.15138573125887,38.347887953790405,39.26588968359965,39.529388234706175,38.56188708331274,47.76288743468626,38.34088751270883,38.356389576887295,38.62588981106114,39.33738614144886,38.29939033521441,120.62638618091341,39.30338573904919,126.3798870166795,39.37038778583428,41.34938720614514,39.88338705087813,38.299889714221536,38.4603883001148,38.38588643324101,470.28790688636946,57.865886550186474,38.381385932189005,38.29939033521441,38.4873882614329,38.76088657265768,38.302386609257155,38.46188643713617,39.41888844940422,38.29888791121334,39.346387143552874,0.19014107,0.3835208,0.07292306
