,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,168.408,154.576,9049.196,8605.056,9116.185,9132.488,41.871,31.447,26.753,36.545,15245.307,26.588,124.157,12397.879,559.645,30.96,13386.539,420.827,34.286,25.955,252.96,30.826,44.621,38.119,149.95,7032.086,0.17017831,0.26519632,0.045130663
Pareto solution 1,1741.18950535584,1734.2734165453003,6181.583790226956,5959.513298784848,6215.077782858047,6223.2296019335045,1677.9209517535637,1672.7090302182478,1670.361918964889,1675.2579664677614,9279.63898072089,1670.2793677645386,1719.063992315845,7855.925152557553,1936.8079350423068,1672.4654071459663,8350.255175350932,1867.398945499328,1674.1283734604367,1669.9630458955653,1783.465423059999,1672.3983809453202,1679.2959591792896,1676.0449645296903,1731.9604901470593,5173.028457519249,0.17017828,0.26519626,0.045130644
