,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,163.979,193.642,2.662,1189.463,84.198,1332.101,3.165,5.145,7.524,2.879,3.499,1472.215,74.441,3.173,1479.619,2806.499,4.926,2.116,3.043,4.885,3.192,2829.473,2.886,134.187,9.945,13.647,4.199,13.042,2.86,265.927,3.081,2.757,2.91,2.375,191.397,144.272,139.342,2.683,13.704,2.78,3.783,3357.241,17.774,9.719,1.925,3.193,3377.961,3.309,2.913,2.895,7638.664,2.843,3.444,12.473,3.579,3.62,3.503,3.746,3.051,3.154,5.496,12.812,751.382,5.172,18.731,764.753,6.943,0.16529162,0.33605054,0.05554634
Pareto solution 1,295.7798931143898,310.6113851193677,215.1213769560436,808.5218721572382,255.88938957139726,879.8408399075961,215.3728889297363,216.36289148780997,217.55237756227325,215.22988993012768,215.5398942892989,949.8978445686625,251.0109027001581,215.37688705424807,953.5998965119725,1617.0399420068716,216.25339219226043,214.84839487759382,215.31189551482748,216.23289079608548,215.38638039835314,1628.5267826967029,215.23337728102342,280.88387631139904,218.76289341941083,220.61388416529917,215.88989750647124,220.31138289441878,215.2203789731393,346.7538935129314,215.33088220303762,215.16887890233556,215.24538926744208,214.97788479570227,309.4888896465809,285.9263919649211,283.46139849389965,215.13189184738076,220.642399423381,215.1803977280215,215.68188935455873,1892.4108910460054,222.67739196122784,218.64988916008224,214.75288021139386,215.38689117196918,1902.7707890100137,215.44489039671498,215.24688636252358,215.23788617915125,4033.122576974478,215.211889563383,215.51238296556585,220.02688199028307,215.57989314730003,215.60039454347498,215.54188454511313,215.66339582708133,215.31589363933927,215.367393710143,216.53838625712888,220.19638837927596,589.4813976216428,216.37638295642682,223.15588116215986,596.1668782562574,217.26188827781152,0.16529165,0.3360505,0.055546343
