,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,Node_134,Node_135,Node_136,Node_137,Node_138,Node_139,Node_140,Node_141,Node_142,Node_143,Node_144,Node_145,Node_146,Node_147,Node_148,Node_149,Node_150,Node_151,Node_152,Node_153,Node_154,Node_155,Node_156,Node_157,Node_158,Node_159,Node_160,Node_161,Node_162,Node_163,Node_164,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,102.369,2691.309,122.412,138.492,7.898,19.765,23.108,108.559,2651.205,29.33,85.444,21.788,25.897,27.138,72.913,99.834,34.016,10.359,19.037,6.774,260.557,11.448,34.9,2516.042,2494.95,12.015,63.161,166.747,74.819,14.964,8.311,33.259,8.079,2481.226,46.598,9.289,37.613,29.391,1782.152,22.357,30.137,477.493,7.041,102.219,9.146,39.311,564.876,5.691,545.727,604.479,522.697,1742.385,31.892,473.655,292.537,1614.12,199.884,18.497,43.313,1993.413,71.863,36.414,416.037,5.359,372.279,7.646,42.921,60.19,27.982,408.954,26.517,25.893,341.663,284.901,716.321,712.903,48.815,1571.923,594.548,4.671,9.637,34.389,403.728,23.769,249.84,326.521,1258.478,6.061,1254.581,42.888,4.479,17.49,1221.779,501.241,27.845,33.297,13.779,20.051,917.173,569.45,76.408,911.679,29.861,200.242,13.843,1845.931,79.552,22.871,43.068,108.233,18.027,3.543,23.273,895.334,212.854,171.771,12.943,466.58,21.52,132.115,46.198,17.177,13.732,18.808,19.786,289.031,1794.44,42.054,914.455,12.619,15.596,126.625,15.957,1771.521,243.551,841.063,14.863,13.145,324.404,13.356,436.523,1744.606,2943.606,4.74,153.617,18.587,13.324,9.044,15.227,79.506,189.557,133.627,15.35,10.955,61.897,8.286,9.824,11.747,11.925,3.917,2770.069,15.042,38.553,8.144,10.882,0.24450707,0.402973,0.09852975
Pareto solution 1,38.57506297910891,3274.750241343123,63.62882147528421,83.72882870612716,-79.51368791461391,-64.6799119172133,-60.50113715608268,46.31254971947783,3224.620067989903,-52.72368914790604,17.41883359492772,-62.15120216527475,-57.014915273248334,-55.463653100396186,1.7550717617707505,35.406330572377556,-46.866186980558496,-76.43738105247712,-65.5899424121344,-80.91869492480328,236.3100877011667,-75.07617243201503,-45.76118135420984,3055.6664557976783,3029.3013297439884,-74.36740154636936,-10.434910135756354,119.04757711394268,4.137587412821176,-70.68116082952065,-78.99741305234465,-47.81240268314241,-79.28741740243822,3012.146449143547,-31.138693751954634,-77.77494166884935,-42.36992274332488,-52.64744985853804,2138.3037997539213,-61.43995461404893,-51.71491687841967,507.4800884981323,-80.58495568922808,38.38754715407367,-77.9536670408047,-40.24741789865561,616.7087905436877,-82.27241004427924,592.772574877434,666.2125970973996,563.9850915859643,2088.59515781341,-49.52115538519456,502.6825711106775,276.2850504436991,1928.2639273875548,160.4688246263338,-66.26490949932895,-35.2449442220875,2402.3801088617492,0.4425855525444149,-43.86868888726735,430.6600607417336,-82.68743471428024,375.9625617477486,-79.82866897301392,-35.734935654072615,-14.148670173208302,-54.40870103197085,421.8063317872433,-56.239904574452794,-57.01989791406049,337.6925666405117,266.74006922671276,806.0150762628805,801.7425790050615,-28.367402666593534,1875.5176233608527,653.7987871586831,-83.54744340340085,-77.33992293135407,-46.3999046144379,415.27381673637024,-59.67492738047122,222.91381823289987,318.7650673013584,1483.71141473217,-81.80990373830355,1478.8401505969887,-35.776164564322244,-83.78742594769392,-67.52369554144934,1437.8377062572144,537.1650675234212,-54.57993290294007,-47.76492104716772,-72.16243643872986,-64.3224611733026,1057.0800590997746,622.4263391235172,6.123807261393949,1050.2125487726216,-52.05995498477773,160.9163329392178,-72.08242108921695,2218.0276159298955,10.053838334803459,-60.797423541553144,-35.55119588918228,45.905079612237614,-66.85240681556024,-84.95743305440237,-60.294924215646915,1029.7813717856811,176.6813278673461,125.32756081521256,-73.20742322553087,493.838806216576,-62.486182176111015,75.75758039506741,-31.638682217686892,-67.91491588921735,-72.22121694548741,-65.87613650748926,-64.65366023905199,271.9025736023067,2153.663874514519,-36.81867712801409,1053.6825477631646,-73.61244841931375,-69.89116801369482,68.89508201837839,-69.43992638390819,2125.015194406733,215.05256293900402,961.9425559250521,-70.80738773009534,-72.95493522978768,316.118812717275,-72.69118255785543,456.2675860298187,2091.3712312569623,3590.1213135102316,-83.46120952275669,102.63508312733234,-66.15242882546545,-72.7312048874378,-78.08119333594414,-70.35243354440945,9.996327912958805,147.5600723669429,77.64756444430691,-70.19868976570251,-75.69245671129147,-12.01492751953083,-79.02867668096997,-77.10619311278606,-74.70241086685746,-74.47995060942048,-84.48991479796268,3373.200189474943,-70.58365738774546,-41.19490124368144,-79.20616616260622,-75.7837074273416,0.24450701,0.4029727,0.09852965
Pareto solution 2,102.36899301066614,2691.309126908982,122.4119978536296,138.49200559228075,7.897991318699496,19.765010162643193,23.108029971547694,108.55898142597289,2651.20500385822,29.32999033206579,85.4440075493444,21.78798187214761,25.897009431791957,27.138019170073676,72.91299808281883,99.83400610829267,34.01599304293222,10.359034854432139,19.0369877206831,6.773985710548004,260.5570113228298,11.448005658755392,34.899996567022754,2516.042098472626,2494.9500132614885,12.015020413295133,63.16101256479715,166.74700334154477,74.81900962667078,14.964011032797316,8.31101316249169,33.25901754989991,8.079007728440047,2481.2261009652284,46.59798664882692,9.288988315311144,37.61300540970751,29.390983717536983,1782.1519814535277,22.35697991312827,30.137007170666493,477.4930124488965,7.04097709900816,102.21898132762635,9.146006063770074,39.31100635447774,564.8759731083524,5.691013614967233,545.7270005753494,604.4790183513219,522.697014919162,1742.3850757170258,31.892015388258187,473.6549990274268,292.5369824938441,1614.1200796524809,199.88400232844606,18.497016004904253,43.31298529573223,1993.4130209238829,71.86300911543776,36.41399151756514,416.0369899995304,5.35899387896643,372.2789911096513,7.64600647197949,42.92099312713253,60.19000551182398,27.981980824813945,408.9540073244324,26.5170160368516,25.89302331914223,341.6629949628,284.90099752025503,716.3210007067182,712.9030068084166,48.81501756313901,1571.9230325231656,594.5479704003487,4.6709888816467355,9.637001351330582,34.38901698185191,403.7279950394868,23.76900169999044,249.83999574821632,326.52099561360086,1258.4780734361266,6.061018659747788,1254.5810621279816,42.88800999893283,4.47900089223549,17.48998521723115,1221.7791066561622,501.24099664611595,27.844997282015356,33.29700285867966,13.77899249940674,20.050974665725334,917.1729908841871,569.4500129492044,76.40798843649418,911.6789845764415,29.860978639556834,200.24200751327066,13.843004779017065,1845.931034394307,79.5520103642566,22.87100281714811,43.067985916033194,108.23300436319232,18.02701619794243,3.542997160845516,23.27300423184988,895.3340371249587,212.8540044327617,171.77099030256068,12.943003069965926,466.57998613515724,21.519993955525024,132.11500694343295,46.1979978302179,17.177006985039952,13.731970047977484,18.808030490422425,19.786015413125824,289.0310010207302,1794.4400334460988,42.05399897099096,914.4549798609223,12.618984868916414,15.596005285457977,126.62500628810494,15.957002497240865,1771.521097175777,243.55099200159384,841.0629863904323,14.863029512337562,13.14499542053727,324.4039918242106,13.355995604106283,436.5230102299985,1744.6059266559605,2943.605984642669,4.739974032185273,153.6170071752681,18.586996636041476,13.323979694417176,9.043988935612106,15.226996768839854,79.50600398075767,189.55700052093334,133.62699418282455,15.349989837828616,10.954978235334238,61.89699963476596,8.286002259591442,9.823987160161778,11.747012956904655,11.924981162854237,3.9170078580436893,2770.0690854144377,15.042013786217467,38.553019678457076,8.144006766328857,10.881977662494137,0.24450696,0.40297288,0.098529674
