,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,2.719,86.767,3.442,270.473,3.567,4.758,4.471,24.229,1.701,7.401,3.194,1.619,22.379,99.675,9.819,46.026,1.433,7.109,1.966,123.036,5.038,3.458,10.246,61.893,2.338,9.881,1.206,4.026,6.491,14.265,13.03,355.127,20.251,245.516,6.672,6.802,75.49,0.258,18.956,255.632,0.288,0.956,60.528,7.192,6.449,90.803,1.61,28.143,0.641,5.774,230.159,1.48,91.129,101.852,204.769,10.547,260.568,0.57,336.369,4.09,8.535,402.823,6.022,73.729,7.295,1.126,828.189,4.745,2.569,10.614,841.619,12.421,0.83,8.531,4.742,7.501,25.663,26.15,6.209,0.902,38.648,0.15974753,0.43799132,0.06996803
Pareto solution 1,-30.521119448741956,95.5508701796864,-29.43662861368648,371.10986262361075,-29.249126141164197,-27.462631464219157,-27.893124505584638,1.743872804183411,-32.048134169729565,-23.498129727390733,-29.808628103936826,-32.1711231561585,-1.0311367129770588,114.91287865781715,-19.871123415712646,34.43937163655892,-32.450134055583476,-23.936122867657105,-31.650628927982325,149.9543831553001,-27.042625925769244,-29.41262107689181,-19.23062760512221,58.23987388706553,-31.092634205301692,-19.778125799497502,-32.79062591013826,-28.560624282374192,-24.863120651183635,-13.202127532015766,-15.054624884366604,498.0909053043506,-4.2231282630136775,333.6743689762952,-24.591627901439097,-24.396625330015922,78.63536846630029,-34.212621195733846,-6.165626802175211,348.84837773431536,-34.16762962771827,-33.165630855182826,56.19237057877035,-23.811626641136172,-24.926126897184986,101.60487374794229,-32.18462513925806,7.614870800371136,-33.63812806054921,-25.93862219802577,310.63886666011604,-32.379627710681234,102.09386936581268,118.17836846946557,272.55385181243764,-18.779132481756278,356.25239233568936,-33.74462765986391,469.95385557164263,-28.46462121136483,-21.797123542370173,569.6348812179494,-25.566631733165195,75.9938658991748,-23.657130019011674,-32.91062749255252,1207.683872539521,-27.48212630612761,-30.746122415768696,-18.678634766640243,1227.8288313240628,-15.968129710183348,-33.35462251701756,-21.803134451958613,-27.486629975624055,-23.34813677476268,3.894875897867678,4.625372895268811,-25.28613164442777,-33.246624703000634,23.372371007179026,0.15974751,0.4379913,0.06996802
Pareto solution 2,19.33906759594163,82.37506339730781,19.881314141643088,220.1545597602917,19.97506537790423,20.86831384455047,20.65306619569401,35.471565414664894,18.575561927708407,22.850564148877822,19.695314396517915,18.514066306320217,34.08406065608466,92.05606749535147,24.664066176543145,51.81931426676579,18.37456198478145,22.631566450570915,18.774314548582026,109.57681889796265,21.078314921514846,19.8933167818667,24.984315210012085,63.719565321508234,19.053311345835482,24.710565548737577,18.204314929330337,20.31931574321237,22.16806699472079,27.998564118391585,27.072315442216166,283.6450788443142,32.48806375289263,201.43681519298138,22.30381506185364,22.401316347565228,73.91731275214732,17.493317850619405,31.51681448331186,209.023817315644,17.515814198714054,18.016814149068637,62.69581387889322,22.69381456383138,22.136565563980696,85.40206504041404,18.507314750683577,38.407063284585035,17.780563290038003,21.630316785386583,189.91906177854435,18.409815157232572,85.64656284934924,93.68881268321911,170.87655435470515,25.21006277169505,212.72582235998357,17.727314054467513,269.57655623430765,20.367317842803914,23.70106554912752,319.41706905746105,21.81631258190373,72.59656139807373,22.77106287489363,18.144314138123207,638.441555692857,20.858566423596244,19.22656611242826,25.260312193339928,648.5140441105177,26.615563593394654,17.922316625890687,23.698061786593883,20.8563134606743,22.92556118927871,36.547065833333306,36.912315460207594,21.956563190359304,17.97631609698601,46.28581367003241,0.1597475,0.43799132,0.069968015
