,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,17.527,22.925,1.151,55.864,737.36,20.143,12.601,10.461,14.988,14.647,12.982,46.84,2.214,586.228,4.195,2222.148,3527.816,38.055,84.57,7.09,8.779,10.381,192.142,20.601,2.197,195.871,7.602,208.517,0.005,1.757,107.129,0.054,41.569,87.015,4.829,8.016,1.751,12.916,8.968,4.103,70.387,1.531,1.36,7.19,7.777,0.626,1.723,95.385,4.296,4.498,53.071,63.622,1.672,17.409,6.8,2.992,85.424,6.748,0.17662713,0.2977903,0.052597843
Pareto solution 1,-16.007272260545164,-9.259759884858454,-36.47726093664755,31.91398309495014,883.7839705023462,-12.737268760640973,-22.164782116858987,-24.83976340999402,-19.18100908615338,-19.60727770133667,-21.688519034462843,20.633976369880997,-35.1485011052348,694.8690109442418,-32.67225692757461,2739.7689124622702,4371.853685635178,9.652723019623636,67.79648320467066,-29.05353392259076,-26.942269596259393,-24.93977865729721,202.2614807763154,-12.164781509366321,-35.169765958374,206.92273314351343,-28.413509611093787,222.73022768700747,-37.90976029956073,-35.719759747537864,95.99522839693759,-37.84851201705624,14.045231848776325,70.8527244300418,-31.879779852090905,-27.89601020155078,-35.72727511015978,-21.771020025701546,-26.706020437834923,-32.78727658724415,50.06773012914846,-36.00225277610048,-36.21602061681915,-28.928513345411147,-28.1947767328013,-37.13351624541497,-35.76226516500628,81.31523660534583,-32.5460219098959,-32.29351341725601,28.422723716616588,41.61147973055631,-35.82602329120891,-16.154772131363075,-29.41601809869394,-34.17602977931233,68.86398348761378,-29.481016978273146,0.17662713,0.29779026,0.05259784
Pareto solution 2,51.06126693756153,55.10977436297355,38.779272922273094,79.81402015085871,590.9360069279073,53.02327146638504,47.36676183340023,45.761771438265214,49.157027271077595,48.90126610196762,47.65251968283792,73.04601611581722,39.576528821120746,477.5870409085687,41.06227532771686,1704.5269785808778,2683.7778943007506,66.4572665345438,101.34352062150452,43.23351074996117,44.50026934575999,45.7017639091373,182.02251916449137,53.36676381714983,39.56377314774522,184.81927139443718,43.61752695611335,194.3037673109066,37.91977492377919,39.233775254992906,118.26276814167818,37.95652389328188,69.09276940315442,103.1772665711677,41.53776319226108,43.92802498258516,39.229267656673755,47.6030190880947,44.64201884081467,40.99326677042313,90.7062691810047,39.06427781860134,38.936018733424135,43.308524715522935,43.748763444580845,38.385522975520644,39.208272004511855,109.45477225709612,41.138017957578086,41.28952143390802,77.71926614311258,85.63251894184941,39.17001712879028,50.97276863432478,43.01601862504526,40.160014855182226,101.98402160089739,42.97702091655174,0.17662716,0.29779023,0.052597843
