,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,446.114,446.114,59.137,59.041,128.424,31.836,0.124611214,0.2541319,0.031667687
Pareto solution 1,320.61251883122713,320.61251883122713,127.12401082636461,127.07601306475044,161.7675102517819,113.47350960489348,0.12461117,0.25413185,0.03166767
