,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,84.38,5.954,122.392,35.764,318.834,6.837,71.991,154.561,86.471,156.258,3.783,3.435,12.507,4.567,144.835,3.945,193.113,5.569,3.744,168.761,5.06,4.101,100.95,14.035,4.693,203.541,6.223,4.316,12.831,213.594,5.648,132.705,37.602,5.519,5.423,174.018,225.538,233.428,6.504,243.993,5.783,52.024,201.812,8.922,231.022,15.328,240.382,6.051,56.493,247.183,7.21,8.466,33.121,8.4,76.179,80.554,9.952,9.521,179.851,9.4,9.794,10.503,149.211,8.005,88.883,95.543,0.18277334,0.308337,0.05635578
Pareto solution 1,80.6522370518228,41.439238237833706,99.65823738126164,56.34423820408756,197.8792537740701,41.88073694754166,74.45773703135808,115.74274192321627,81.69773866333287,116.59123655971052,40.35373598337719,40.17973626577668,44.71573721947516,40.74573904297176,110.87974243908775,40.434736880183664,135.01874092030266,41.24673729100232,40.33423903276935,122.84273838772606,40.99223713030824,40.51273764773714,88.93723660031424,45.4797381552703,40.80873916426026,140.23273737586078,41.573738414456784,40.62023925410767,44.8777390130881,145.25923742171653,41.28623942500417,104.81473870637319,57.263238471051636,41.221737942576965,41.17373587452903,125.47124056701341,151.23123714758822,155.17623338264184,41.714236256561435,160.45873235730596,41.35373585063553,64.47423712489785,139.36823859265132,42.92323648503043,153.9732411917521,46.12623878253453,158.65323538447228,41.487740759594544,66.70873831927565,162.05373279383912,42.06723763586706,42.69523703390041,55.022737018167845,42.662238205141875,76.55173872247497,78.73923879674663,43.438239657949,43.22274117754387,128.38773959644186,43.162238138771045,43.35923798296972,43.71373813038963,113.06773644399527,42.4647379072303,82.90374005906108,86.23373767226303,0.18277329,0.30833706,0.05635578
Pareto solution 2,82.51611726596661,23.69661904498298,111.02511776012489,46.05411899436376,258.3566475353864,24.358867109544917,73.22436723526954,135.15187586956904,84.0843695211677,136.4246165277982,22.06836566329821,21.80736673515355,28.61136881395737,22.656370252690067,127.85737664337626,22.189868305020127,164.06587306868641,23.40786632822369,22.039120885642546,145.8018692698215,23.02611868020699,22.306867511582027,94.94361626457572,29.757368272881763,22.75087043462281,171.8868690485358,23.898370606429808,22.468121217650037,28.854368911352367,179.42661782080722,23.467120825738675,118.75987039604831,47.43261971893793,23.370369250353974,23.29836614828207,149.74462124224033,188.38461611310254,194.3021130587074,24.10911672133068,202.22585892767916,23.568364167673508,58.249117699707256,170.5901195772094,25.922616415778066,192.49762606888498,30.727121158546424,199.51761217191643,23.769373475880343,61.6008691671459,204.6183595824789,24.63861814203301,25.58061723908304,44.071867863740295,25.531117699433025,76.36536976181586,79.64661996438439,26.695120526899814,26.371873454548222,154.11937237940742,26.281118248132884,26.576618662686997,27.10836953207297,131.13936765073754,25.234868549077873,85.89337193888807,90.88836819662697,0.1827733,0.308337,0.056355774
