,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,724.164,6.409,16.04,13.17,1401.661,7.441,121.508,13.036,93.166,245.063,11.625,1391.033,99.188,7.794,0.015,11.763,123.771,1358.204,8.201,61.427,8.292,157.108,6.668,1174.04,8.84,7.021,212.288,10.932,32.151,22.475,25.299,375.196,32.906,64.477,10.908,31.791,49.838,162.859,23.498,7.525,0.18848827,0.26730874,0.050384562
Pareto solution 1,463.8168578510413,104.93937472988182,109.75488214985944,108.31987939670807,802.5653790867436,105.45537328223918,162.48888005169897,108.25287708712995,148.31787672875453,224.26637987654124,107.54738113235999,797.2513749586142,151.32888284080127,105.63188238018029,101.74237514758443,107.61637890161,163.6203799215109,780.8368662304892,105.83537769463646,132.44837792351427,105.88087536292915,180.28887918986652,105.06887768704019,688.7549068318913,106.1548769191254,105.24537490724515,207.87887555271485,107.20088381361984,117.81038061810114,112.97238270473827,114.3843782829822,289.33288422783835,118.18787882817242,133.973372344547,107.18888136124815,117.63037946573422,126.65387779635648,183.16437517970098,113.48387959509773,105.49737295723799,0.18848825,0.26730874,0.050384555
