,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,258.01,12.888,753.405,8.912,8.922,266.256,17.637,8.879,94.729,9.907,8.168,6.128,8.362,42.313,6.095,6.634,7.092,15.525,11.694,398.128,416.572,175.462,87.939,63.019,8.442,548.429,9.203,9.324,240.703,2.719,223.377,0.639,0.559,1.023,3.332,170.412,155.433,0.83,0.807,4.799,13.251,62.421,2.014,0.756,73.654,1.867,5.549,4.403,8.807,1.865,13.004,1.812,1.801,0.741,1.209,1.494,34.131,17.122,34.423,4.444,0.677,0.544,0.616,0.691,10.135,29.826,11.885,55.525,45.356,13.794,0.718,15.812,16.51,1.576,18.131,0.558,4.483,21.928,2.627,0.61,0.893,10.376,16.653,1.085,3.076,31.673,0.705,0.82,0.922,1.191,0.306,0.767,0.616,0.391,3.414,14.558,0.1794267,0.30824032,0.055306543
Pareto solution 1,153.46814059949247,30.90713415969003,401.1656546830236,28.919134054239862,28.92413466427149,157.59114180606502,33.28163519052771,28.902634158542696,71.82763246173943,29.41663299467666,28.547133839240473,27.527134672714737,28.644134028114422,45.61963467514806,27.51063477701757,27.780134837910623,28.0091341923619,32.22563480788506,30.31013472536347,223.5271317981369,232.74913189144263,112.19413586993187,68.43263643818727,55.97263547904083,28.68413537935544,298.6776403780332,29.06463345529778,29.125134837360065,144.81463611043182,25.82263598334498,136.15163152101468,24.782634376692727,24.74263302545171,24.97463380462557,26.129135970756465,109.66913482800464,102.17963260543138,24.8781364999644,24.866633685286843,26.862634060985215,31.088634776864865,55.67363552442379,25.47013532425933,24.841134808939955,61.290134027214265,25.396634826423224,27.237633936201178,26.664635312619225,28.86663470693179,25.395636116021706,30.96513347223049,25.36913500026128,25.363633270522882,24.83363565839852,25.067633858375416,25.21013536372277,41.528634990694826,33.02413377050095,41.67463507033301,26.685135343440493,24.801634577405707,24.735133874910275,24.77113509102719,24.808636137252392,29.530635963460554,39.376134842347255,30.40563508412913,52.225635504844774,47.14113424061421,31.360134023066962,24.822134608226975,32.36913502363393,32.71813666730225,25.251135425365305,33.52863427078444,24.74213367025095,26.704634899354232,35.4271342201551,25.776633547164806,24.768135430810617,24.909634696744433,29.651134078866335,32.78963445081729,25.005634410710854,26.00113517579723,40.29963493970581,24.815635932593068,24.87313412542676,24.924135407132553,25.058634877725694,24.616133825106772,24.846634774172344,24.77113509102719,24.658633716857594,26.170136032399,31.7421336936236,0.17942668,0.30824035,0.055306546
Pareto solution 2,258.01001166773494,12.887998788130062,753.405011602701,8.91199769497672,8.922000679545988,266.256007022856,17.636999967552413,8.878998785835392,94.72899627448186,9.906995575850317,8.167997264977942,6.128001578685485,8.361998524978844,42.31299981904613,6.094999140532138,6.634001026824251,7.091997088967787,15.52499920226711,11.693999919476937,398.1280081810719,416.5720013096593,175.46199867960172,87.93900334512455,63.019001426831665,8.441999462954868,548.4289971087683,9.202995614839551,9.32399837896412,240.70300268961364,2.719004199945971,223.37698645275532,0.6390001043884581,0.5589956374004146,1.0229989602541423,3.3320032925159353,170.4120001247593,155.43299920862478,0.8300043509318016,0.8069960748176754,4.798999472973435,13.25100002247973,62.42100195872408,2.0140019995216676,0.7559992043769057,73.65399808205203,1.8669983570904378,5.54899922340536,4.403001976241455,8.807001647119591,1.8650027007934113,13.003997413210982,1.8120013515255664,1.80099612754276,0.7410026678000463,1.208997303247827,1.4940003139425357,34.1310006707029,17.12199889200491,34.42300060941602,4.444000273377981,0.6770005058144193,0.5439991008235552,0.6160006508043807,0.6910036255077898,10.135002395671108,29.82600015344451,11.885001519261266,55.52500147843955,45.355998949978414,13.793999397136929,0.7179988029509445,15.812001398270866,16.51000292110149,1.5760004372276057,18.13099989257188,0.5579978092519013,4.4830020319644746,21.92799846793369,2.6269966808266076,0.610001330371233,0.8929998622388666,10.37599862648267,16.652998488131573,1.084997525665699,3.0759999380914564,31.673000348161622,0.705002333936136,0.8200004841095279,0.9220030475211161,1.190999341948384,0.3059981189635437,0.7670000170946878,0.6160006508043807,0.39099613795917776,3.4140034158010053,14.5579978559972,0.17942666,0.30824038,0.055306543
