,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,16.414,4.968,644.8,23.183,8.105,19.546,37.473,4.236,8.609,59.843,214.248,2.78,2779.503,2.873,2475.194,13.181,4.981,61.922,57.504,249.766,11012.42,17.554,2.268,6.024,6.518,10830.273,10415.521,1592.174,140.69,274.969,9905.198,3.795,29.939,9200.399,135.102,61.878,469.614,3.655,11.453,78.882,18.542,5.71,20.736,401.024,9.749,3273.983,40.843,3.563,40.199,314.576,8908.849,73.526,14.065,5.234,3160.678,3103.964,197.55,2.557,0.343,0.249,79.828,98.357,152.298,0.182,198.587,0.111,61.384,0.83,0.325,84.963,3.007,46.785,3.826,2.042,0.18268293,0.33879352,0.061891794
Pareto solution 1,-524.1351177315955,-541.3040694755182,418.44390836089224,-513.981615941826,-536.598643154488,-519.4371228563396,-492.54651889375236,-542.4021068744769,-535.8426174043852,-458.99155950403656,-227.38411136248033,-544.5859610726766,3620.4982862777833,-544.4465801785991,3164.035106195457,-528.9845489574072,-541.2847477165051,-455.8731597139122,-462.50019276893,-174.1070857472805,15969.873729499057,-522.425224630555,-545.354207422497,-539.720015522922,-538.9791829508467,15696.655469605234,15074.526536885067,1839.5048277919195,-337.7210987784638,-136.30266052059596,14309.040060881991,-543.0635055483872,-503.8477661975485,13251.84324560687,-346.10310903888603,-455.93905186644406,155.66488934685913,-543.27356774894,-531.5766372434737,-430.43300882322364,-520.9430640566861,-540.191169185011,-517.6522547245986,52.779908038457506,-534.1325591601053,4362.2183381217765,-487.49164947809186,-543.411627497102,-488.45773742874735,-76.89221499302948,12814.517524682451,-438.4670622781705,-527.6586138880375,-540.9050834090594,4192.260842977674,4107.189945478021,-252.4310562000901,-544.9205412757583,-548.2415718206612,-548.382604147133,-429.0140981100558,-401.22065605751413,-320.3092213293421,-548.4830112367054,-250.87557202791504,-548.589693769376,-456.6800495817588,-547.5111432726699,-548.2686553119274,-421.3114871366415,-544.2456008562149,-478.57853855966823,-543.0169351548684,-545.6930813498038,0.18268298,0.33879352,0.06189181
Pareto solution 2,-253.86056704493876,-268.16801995057267,531.6219581392852,-245.39930867249586,-264.24683823068244,-249.94556787507463,-227.53673468006946,-269.0830579973399,-263.61680645081105,-199.57426852197295,-6.568061737342759,-270.90293649583964,3200.000599522393,-270.78677886980677,2819.6146161204542,-257.90175629263103,-268.1519184847284,-196.97559514923432,-202.49811925459835,37.82945960865709,13491.146864135502,-252.4356492464367,-271.54313490638833,-266.84797843056003,-266.23062139431477,13263.464870795156,12745.02417609997,1715.8393927187167,-98.515544369694,69.33315417852918,12107.11877943074,-269.6342235589318,-236.95443044511376,11226.121378320393,-105.50055636053003,-197.03050527634423,312.6394422942576,-269.8092753927258,-260.06182986435306,-175.7754762879622,-251.2005223158476,-267.2406064823008,-248.45817432480635,226.90195443010543,-262.1917647948794,3818.100635844752,-223.3243331788999,-269.9243183018925,-224.12940647111282,118.84185878483459,10861.683277550044,-182.47051739326707,-256.79681384197374,-267.8355350023412,3676.4693967723015,3605.5769959511945,-27.440515768684236,-271.1817498912569,-273.9492719048585,-274.0668022840691,-174.59305069365564,-151.4318455427201,-84.00564649542594,-274.15047829919695,-26.1442755180542,-274.2393769692717,-197.648006812924,-273.3405848886832,-273.97184492139786,-168.17421165629457,-270.61930298212155,-215.89674762784853,-269.59541489766616,-271.82554016726317,0.18268299,0.33879346,0.0618918
