,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,Node_134,Node_135,Node_136,Node_137,Node_138,Node_139,Node_140,Node_141,Node_142,Node_143,Node_144,Node_145,Node_146,Node_147,Node_148,Node_149,Node_150,Node_151,Node_152,Node_153,Node_154,Node_155,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,5.568,8.832,7.298,98.112,5.769,362.094,6.179,51.437,137.852,59.65,8.125,128.751,872.627,6.378,51.043,872.627,6.999,5.459,5.682,6.642,5.766,30.017,169.837,180.952,4.029,7.493,4.928,213.091,6.999,735.137,4.234,4.206,6.063,17.547,35.044,2.461,3.683,2.801,5.508,2.584,698.384,31.464,107.064,690.102,591.966,129.028,581.968,141.203,20.118,0.275,402.716,1.555,11.407,14.476,0.084,18.647,422.513,0.278,11.379,11.743,1.02,2.317,0.33,2.079,0.899,0.492,426.32,2.201,1.717,12.56,7.743,431.099,28.057,15.114,1.825,1.807,1.551,13.14,29.616,2.268,3.186,0.831,7.371,434.529,1.828,0.959,1.713,1.717,2.279,1.187,0.281,169.877,14.363,0.275,6.731,2.478,0.712,1.632,0.348,3.435,444.257,11.784,0.821,171.426,2.901,7.317,1.42,0.614,172.807,5.529,2.181,0.93,47.273,0.493,448.549,23.13,5.366,18.018,1.837,1.55,1.384,1.54,1.054,1.909,289.859,183.553,130.792,3.688,4.38,17.626,302.871,525.129,4.017,116.462,30.597,1.681,403.182,2.16,71.856,1.75,2.257,1.717,376.007,2.231,1.983,12.987,2.678,977.493,11.666,6.968,1.559,2.91,2.595,982.847,2.888,33.25,0.29796118,0.46422046,0.13831967
Pareto solution 1,-41.518137226339604,-36.622137229845976,-38.92315053686616,97.29785539029353,-41.21664499685721,493.27083449900965,-40.60165007193427,27.2853552406159,156.9078599321183,39.604856886893685,-37.68263922350161,143.25636869243863,1259.0704005730804,-40.303148153136135,26.6943566359987,1259.0704005730804,-39.37164791628311,-41.68164446116134,-41.34714806190459,-39.90714733906498,-41.22114892159152,-4.84464704371203,204.8853582501979,221.5578416231583,-43.82664476877835,-38.630641545241815,-42.47813770823268,269.7663629767558,-39.37164791628311,1052.8353424265515,-43.519135000511596,-43.561134713949286,-40.775641852858826,-23.54964335817931,2.6958582027218654,-46.17865333289956,-44.34564210667304,-45.668639232862915,-41.60812958038878,-45.994140088456334,997.7057285355404,-2.6741491075445083,110.7258609001924,985.2828704306739,838.0788586827111,143.67185574917858,823.0819214515504,161.9343629936593,-19.69313934571983,-49.457645903334196,554.2038661624247,-47.537644939548045,-32.759652596017986,-28.156149285343417,-49.74413735617418,-21.89965637395653,583.8993494581955,-49.45314197859989,-32.80164000365039,-32.25563142315514,-48.34014341959846,-46.3946448272618,-49.375147784703586,-46.75163623857952,-48.52164174174686,-49.13214504774078,589.6098337890871,-46.56864891399164,-47.29464220258524,-31.03015780384885,-38.25563443498686,596.7783591533662,-7.784651595960895,-27.19915141993988,-47.132648581813555,-47.159647518608836,-47.54363786672184,-30.16014967600495,-5.446154806042614,-46.46814740222908,-45.09114009664336,-48.62364456175419,-38.813641175634984,601.9233178965806,-47.12814465707925,-48.43164938769769,-47.300647435564315,-47.29464220258524,-46.4516453173419,-48.08964644721709,-49.448650359670864,204.94534905096225,-28.325649447338947,-49.457645903334196,-39.773629351722775,-46.15315570434905,-48.802152573218336,-47.42215495694836,-49.348148847908305,-44.71764660043846,616.5153449106438,-32.194139314146014,-48.6386453383966,207.2688573700434,-45.518643772244104,-38.894637986020825,-47.74014927131793,-48.94914541734761,209.34036740849842,-41.57665133046976,-46.59863816147117,-48.475138103574864,21.039353028234473,-49.13064373949601,622.9533484499843,-15.175149075970694,-41.82114306987205,-22.84315477096243,-47.11464518868161,-47.54513917496661,-47.79413483910321,-47.5601522574143,-48.28914816249744,-47.006649441500485,384.91836663428694,225.45934796554502,146.31786538381493,-44.33814787125448,-43.300140889659815,-23.431150759090087,404.43635828071274,737.823413802631,-43.8446481619103,124.8228522865893,-3.974638915868127,-47.3486400761758,554.9028851258336,-46.63014102300076,57.91386161664377,-47.245148253728985,-46.48464948711626,-47.29464220258524,514.1402989050548,-46.52364658406441,-46.89563877202454,-30.38964063876483,-45.853140171500854,1416.3693074053153,-32.37114601736539,-39.41813924864982,-47.53165201237425,-45.50513199804118,-45.97765030937444,1424.4003712736303,-45.53813616781554,0.004849314609600697,0.29796126,0.46422035,0.13831969
Pareto solution 2,-17.97506664819366,-13.89506690748658,-15.81257748392818,97.70492746338316,-17.723822867254057,427.68240902048456,-17.211326840113998,39.3611773306402,147.379931368411,49.62742883072383,-14.778818312495332,136.00368854049248,1065.8487130567264,-16.962574984744606,38.86867823708826,1065.8487130567264,-16.186324787367084,-18.111322677211774,-17.832575421460206,-16.63257481909386,-17.72757613786598,12.586175427033595,187.36118009499614,201.25491649550077,-19.898822420817396,-15.568819478166006,-18.775067049771224,241.42868377742343,-16.186324787367084,893.9861687032208,-19.642564793336987,-19.677564810906006,-17.356319990884458,-3.001321245318195,18.869929542690898,-21.858829557585068,-20.33132071513819,-21.433817807554533,-18.050060532938915,-21.70506928966188,848.0448258450124,14.394923450802253,108.89493204695395,837.6924379380544,715.0224301990529,136.34992775444243,702.5249804554514,151.56868366332424,0.21243209839803967,-24.591323622651544,478.4599364321475,-22.991322819496418,-10.676328943517092,-6.840076440992561,-24.830067012760082,-1.6263320917992132,503.20617251195654,-24.58757035203962,-10.711318962619316,-10.256311812206604,-23.66007180924271,-22.038822725924547,-24.522574934088425,-22.336315568689315,-23.8113201546621,-24.32007290965703,507.96491047985,-22.1838258751618,-22.78882002595219,-9.235083027005203,-15.256314322066373,513.9386805912654,10.136171889863817,-6.042577963452004,-22.65382611108862,-22.676324968713743,-22.996317438216465,-8.510076510172894,12.084919214795718,-22.100074871730612,-20.9525692964844,-23.896322504668206,-15.721319939273144,518.2261462106108,-22.650072071363866,-23.736326269916844,-22.793824643139033,-22.78882002595219,-22.08632313432463,-23.451324588629177,-24.58382707989449,187.41117242896644,-6.981326319617892,-24.591323622651544,-16.521310342383913,-21.837581277422032,-24.045078924517384,-22.895080654588128,-24.5000760764633,-20.641323947200817,530.3861676968463,-10.205068131661392,-23.90882289549927,189.34742859242124,-21.30882159037219,-15.788817281261345,-23.160076172933714,-24.16757321766272,191.07368772691325,-18.023827632522625,-22.208817427469967,-23.772567635593987,34.156175486989014,-24.31882233219494,535.7511726972643,3.9774239898556516,-18.227571774174976,-2.4125807559707937,-22.63882302710772,-22.997568015678553,-23.205064658829997,-23.01007840497641,-23.617575248916637,-22.548826827494395,337.3886857998823,204.5061710117102,138.55493578330606,-20.325074749843225,-19.460069700960503,-2.9025771563728995,353.65367935131235,631.4762261323194,-19.913825504798297,120.64242486895137,13.311181943865904,-22.8338192794281,479.0424501840207,-22.235069555707014,64.88493264399676,-22.747575581313868,-22.113826609136595,-22.78882002595219,445.07363140982307,-22.146323933555777,-22.45631793626444,-8.70131949188135,-21.58756884612376,1196.9311415698248,-10.352573204935652,-16.225068077081232,-22.98632820077637,-21.29756254764925,-21.69132678160986,1203.6236906914855,-21.325066022461215,16.627422648672564,0.29796115,0.46422058,0.1383197
Pareto solution 3,52.65414508624417,54.28614405959161,53.51914167488576,98.92614368265203,52.75464352155541,230.91713258490927,52.95964285534683,75.58864360071311,118.79614567728913,79.69514466221426,53.9326444205235,114.24564808465402,486.1836505076644,53.05914452042998,75.39164304035694,486.1836505076644,53.36964459938099,52.599642674636925,52.71114249987295,53.19114274081949,52.75314221331064,64.87864283927047,134.78864562939089,140.34614111252813,51.88464462306547,53.61664672306142,52.334144925613145,156.4156461794264,53.36964459938099,417.4386475332285,51.98714582818684,51.973144898223836,52.901645595038644,58.64364509326515,67.392143562598,51.1006417683584,51.71164345946636,51.270646468370614,52.62414660941067,51.16214310672149,399.0621177734283,65.60214112584254,103.40214548723861,394.9211404601956,345.8531447480782,114.384143770234,340.85415746715444,120.47164567231903,59.92914643075164,50.007643219396414,251.22814724131604,50.647643540658464,55.57364201398559,57.10814209206001,49.912144017482206,59.19364075467274,261.12664167323965,50.00914452764118,55.55964416047391,55.74164702063899,50.38014302182455,51.02864357808721,50.03514361775706,50.909646440981305,50.31964460659219,50.11614350459422,263.0301405521386,50.97064324132771,50.72864650394695,56.15014130352574,53.741646016695086,265.4196449049632,63.898642347337955,57.427142406011626,50.78264130108619,50.773642680971534,50.64564384729965,56.44014298732327,64.67814127731071,51.004142719764786,51.46314310399248,50.28564366658975,53.55564376981238,267.13463115270133,50.78414568578228,50.34964308342569,50.726643734136815,50.72864650394695,51.00964341472718,50.46364098713457,50.01064275943463,134.808642562979,57.05164306354527,50.007643219396414,53.23564668563267,51.10914200335901,50.226142021585474,50.68614225249257,50.04414223787171,51.5876440125121,271.99863605545397,55.762145415792475,50.28064443319272,135.58314225955473,51.32064495524355,53.5286448330171,50.58014312221894,50.17714338139194,136.27364868215773,52.634643461318774,50.96064477453365,50.335143768348644,73.50664286325264,50.11664188970826,274.14464543910435,61.43514318733469,52.55314211291625,58.87914128900411,50.788643457613944,50.64514546218561,50.562145881989636,50.64014315233726,50.39714349182577,50.82464101452388,194.79964329666836,141.6466401502057,115.26614698177946,51.714144614390534,52.060143865137434,58.683143651778664,201.30564256311118,312.4346631213848,51.87864246653771,108.10114261603758,65.168644523068,50.710643110815,251.46114535858214,50.950144846174226,85.79814572605574,50.745142435931484,50.99864202480239,50.72864650394695,237.87362892412784,50.98564401797012,50.86164457101586,56.363643948769095,51.20914513000753,538.6166440633533,55.70314523235356,53.35414543762454,50.649643234017276,51.32514580352654,51.16764380168388,541.2936489450512,51.31414441360175,66.49514265086145,0.29796118,0.46422046,0.13831967
