,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,478.272,450.386,35.224,33.313,284.578,26.063,85.207,23.005,231.204,37.8,56.98,16.82,13.385,17.119,0.17468086,0.43507954,0.07600007
Pareto solution 1,303.04158375039697,289.0985549627803,81.51756970176939,80.56207211464061,206.19457187576336,76.93707502557663,106.50907246040879,75.40806954560685,179.5075668458012,82.80557304178365,92.39556846348569,72.31556949098012,70.59807225182885,72.46507275421754,0.17468078,0.4350794,0.07600001
