,Node_0,Node_1,Node_2,Node_3,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,36.54,26.24,7.087,6.753,0.13567229,0.24344236,0.033028383
Pareto solution 1,27.847499969713112,22.69749933862073,13.120999267974696,12.953999584527764,0.13567221,0.2434423,0.033028353
