,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,524.937,89.449,73.917,78.616,112.113,108.756,118.809,437.481,952.117,1029.365,53.353,100.794,147.784,26.73,64.193,4629.175,54.706,26.796,684.35,193.799,20.661,54.958,149.234,75.737,498.254,424.262,432.946,1302.637,60.891,2604.952,40.824,18.155,4618.223,26.41,61.727,1402.24,27.619,66.301,60.183,34.564,60.935,240.118,4671.512,29.581,19.527,1739.88,1493.303,52.938,47.98,1893.638,4729.902,1482.225,1201.591,22.369,205.656,1054.344,5.573,62.545,5.256,45.833,42.162,1.739,6.289,18.064,4.154,4.947,0.082,0.47,0.283,25.443,117.265,21.097,0.054,4.526,0.18261054,0.33176357,0.060583524
Pareto solution 1,511.7346202926374,-141.49742927724583,-164.79540125378116,-157.7469166209121,-107.50138652309397,-112.53691252777935,-97.45743408244743,380.5505769077954,1152.504646874746,1268.3766099570275,-195.6413688326429,-124.47989887403673,-53.99491937793209,-235.5759458249886,-179.3814278469872,6668.091321713815,-193.6118974451383,-235.47686926906317,750.8540652896645,15.027615578961559,-244.67940340511996,-193.23390174084489,-51.81989600705856,-162.06540268557,471.7100970351803,360.7220821487372,373.7481190720664,1678.284619895945,-184.33439005506807,3631.7570979653974,-214.43488645103935,-248.4383865803684,6651.6637895377935,-236.05594776831276,-183.08041910228349,1827.6891365483752,-234.2423407587048,-176.219434188155,-185.39640018074715,-223.82485372212977,-184.2684056014914,84.50604917726741,6731.597796053044,-231.29940749570233,-246.38041736629384,2334.1490479967033,1964.2834806553728,-196.26392649252375,-203.7008604716757,2564.7859534496965,6819.182004160772,1947.6665844168165,1526.7155335146308,-242.11739552951622,32.813122458006546,1305.8450596117618,-267.31140514485014,-181.85341455080925,-267.7869459798094,-206.9213812089074,-212.42792035648017,-273.06237308059644,-266.237409951922,-248.5748831795936,-269.4398865045732,-268.2503685801057,-275.54794286063407,-274.96593467827915,-275.24638525190676,-237.5064072402747,-99.7734151609111,-244.02541823556385,-275.5898905960057,-268.88191504042334,0.18261057,0.3317635,0.060583524
Pareto solution 2,524.9370124867582,89.44898221449057,73.91699257383698,78.61598787772527,112.11301071725848,108.75598505783819,118.80897623670171,437.48098425711055,952.1170274338428,1029.3650055963517,53.35301418792915,100.79400525761775,147.78399158835418,26.729968408340937,64.19298316799632,4629.174835628779,54.705995112932214,26.79601944562455,684.3499758181097,193.7990093443077,20.660996688253363,54.957997797770076,149.2340016202943,75.73699994227445,498.25399767536715,424.26198775107173,432.94601167304427,1302.6370066736545,60.89100558828795,2604.9519754073626,40.82400799097377,18.15501067907553,4618.223147511431,26.40996711279149,61.7269889977988,1402.2400233239168,27.619035678209002,66.30098171487225,60.18299606351411,34.56403258456794,60.934992449684614,240.1179650765116,4671.512418604558,29.580991186877327,19.526984606482984,1739.8799753867534,1493.302930492533,52.93798129665083,47.980025310549536,1893.637901258131,4729.901935065514,1482.224983020902,1201.5909546347539,22.369001938655856,205.65601115601658,1054.3439748071623,5.572995528433239,62.54498648347271,5.255973853769319,45.833008711407274,42.16198261302543,1.739014130281248,6.288995098039777,18.064015720579846,4.154005180963395,4.947017130608401,0.08197038457728922,0.46997861380168615,0.2830115647166167,25.442996905804648,117.26499162538039,21.096986801290768,0.05400522766285576,4.5259917057055645,0.18261056,0.33176357,0.060583528
