,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,Node_134,Node_135,Node_136,Node_137,Node_138,Node_139,Node_140,Node_141,Node_142,Node_143,Node_144,Node_145,Node_146,Node_147,Node_148,Node_149,Node_150,Node_151,Node_152,Node_153,Node_154,Node_155,Node_156,Node_157,Node_158,Node_159,Node_160,Node_161,Node_162,Node_163,Node_164,Node_165,Node_166,Node_167,Node_168,Node_169,Node_170,Node_171,Node_172,Node_173,Node_174,Node_175,Node_176,Node_177,Node_178,Node_179,Node_180,Node_181,Node_182,Node_183,Node_184,Node_185,Node_186,Node_187,Node_188,Node_189,Node_190,Node_191,Node_192,Node_193,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,12.571,3.458,1.898,0.649,3.848,13.294,3.455,15.452,2.431,4.199,2.21,3.799,357.56,1.134,33.637,326.92,8.349,0.964,2.123,133.89,3.211,2.643,155.434,2.298,3.839,3.315,2.653,5.617,4.059,194.781,4.205,3.94,2.431,3.725,52.778,2.712,70.53,86.63,120.533,3.313,23.223,222.41,2.981,3.768,8.812,1.994,2.769,4.63,62.587,3.208,2.832,17.437,54.587,2.777,248.893,2.864,0.686,3.224,3.806,13.186,34.003,332.089,2.612,340.652,3.541,0.752,35.406,3.811,3.503,2.468,4.156,4.207,3.751,54.864,3.969,4.521,57.268,1.989,4.184,10.45,0.155,80.48,340.84,394.713,69.626,3.365,28.53,782.523,2.833,321.951,131.991,3.364,307.454,94.528,2.074,786.587,295.115,40.105,0.432,4.221,13.32,799.079,1.762,3.542,4.378,4.602,3.462,197.268,2.395,3.68,44.546,182.885,162.093,2.475,4.047,2.58,3.498,835.234,848.999,5.455,21.962,30.018,5.959,6.756,2.961,2.867,6.829,2.6,60.093,922.228,857.706,9.705,2.9,4.153,5.585,2.934,19.654,5.064,2.947,10.103,15.47,21.38,5.902,22.389,1.709,6.61,2.783,19.317,60.089,948.418,9.481,2.389,11.676,56.311,1.378,1.89,2.284,2.545,34.587,22.871,957.401,93.975,3.258,3.111,2.869,8.169,120.416,27.478,67.066,37.395,7.737,146.635,7.549,3.518,6.385,16.466,2.946,2.516,2.753,27.53,84.366,8.361,1.523,5.974,0.913,5.511,2.534,264.147,13.119,2438.535,2425.936,1.961,1005.46,8.434,0.16303922,0.32234538,0.05255494
Pareto solution 1,60.70816725050099,56.151670548562834,55.371669942484004,54.74717151682853,56.346669541002484,61.06966577494313,56.15016838080919,62.14866730880021,55.63817026546894,56.52216817056615,55.52766820917168,56.322171224921476,233.20266530496883,54.98966960999678,71.2411681772719,217.8826776524802,58.59716719725111,54.90466731494962,55.48417025279923,121.36766810143854,56.028168250348244,55.74416581850528,132.13967017684627,55.571666888128675,56.342167674061784,56.080169218017545,55.74916840803053,57.231168168684235,56.4521690077745,151.813171795402,56.525167869753204,56.39267111029767,55.63817026546894,56.28516875318746,80.81166902485711,55.77866931363678,89.68766764767497,97.73766757235899,114.68916704019102,56.07917240916868,66.03416792952339,165.62767208896548,55.91316896343051,56.30666737008141,58.828667938840226,55.41966976579715,55.80716877407394,56.73766897105088,85.71617024121588,56.02667071891483,55.83866793369816,63.14116437985649,81.7161687379994,55.811169918430096,178.869169565638,55.854667874802544,54.765665798215196,56.03466837130691,56.325667010372854,61.01566655325587,71.42416837296332,220.46716654526244,55.728666599985445,224.74866918555927,56.19317025091732,54.798667125593056,72.12566680495365,56.328165986975364,56.17416597430565,55.656669183175836,56.500669553672196,56.5261693149223,56.29816899510479,81.85466721398916,56.40716888364841,56.68316439045884,83.05667032347628,55.417166152874415,56.51466660443839,59.647664634350804,54.50016692039935,94.66266990848999,224.84266594184737,251.7791764671856,89.2356681523961,56.1051682566831,68.68766844888887,445.6841642407235,55.83916865628271,215.39816636907926,120.4181671050901,56.10466753409855,208.1496691446082,101.6866683939952,55.459667300397996,447.71617066994077,201.98016418135376,74.47516612517575,54.63866771454923,56.53317015846551,61.08266601686046,453.96214709902415,55.30366903371032,56.19366633718164,56.61166769623378,56.72366728396446,56.153668802580796,153.0566699709234,55.62016743402637,56.26266869112442,76.69567142587402,145.8651647128463,135.46916936695197,55.66016960494744,56.44616497308016,55.71267129520129,56.17166699770314,472.0396789330989,478.9221664935467,57.15017165431345,65.40366546917357,69.43166802840278,57.402169567627425,57.80066592748335,55.90316842070024,55.85616540623596,57.837167676632816,55.72266720161133,84.46916700760266,515.5366709509399,483.27567118697334,59.27516875832953,55.87267070624512,56.499167385918554,57.21516822757985,55.88966745619837,64.24966681931983,56.954671939289256,55.89616757715703,59.47416889512533,62.15767104268161,65.11266683010763,57.373670107190264,65.61716801564035,55.27716782729112,57.72766706550465,55.814164981296926,64.08116903329937,84.4671687535847,528.6316792537109,59.16316917059885,55.61716773483931,60.26066962216282,82.57816962177822,55.11166974045773,55.36766879812785,55.564666044585465,55.695169186343264,71.71617077535848,65.85816857737518,533.1231608371018,101.41016752828,56.051669757580385,55.97817017301713,55.85717148772528,58.50716694899893,114.6306688492632,68.1616686464622,87.95567054588537,73.12017140266835,58.291170062249876,127.74016623228454,58.19716866964154,56.18166754043341,57.61517139150965,62.65567210725567,55.89566685457248,55.6806667766723,55.79916648536164,68.18766913029685,96.60566710290368,58.603166595625225,55.184167879851884,57.409666497434955,54.87916755369952,57.17817039216607,55.68966587423347,186.49617133714492,60.98216913961369,1273.69008303585,1267.3907703788718,55.40316910210822,557.1526893072878,58.63966834477469,0.16303922,0.32234526,0.05255492
