,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,9.962,0.275,2.882,12.448,41.907,0.214,5.702,232.128,1.377,2.946,2.631,1.928,7.287,0.195,232.603,1.358,12.536,1.909,0.115,8.576,3.713,0.252,53.772,5.113,12.178,1.144,226.245,0.097,0.771,0.16363879,0.39107865,0.06399564
Pareto solution 1,9.962000306097138,0.27499997570521373,2.8819995241975676,12.44800023741118,41.90700156732231,0.21400151410318813,5.702001454607171,232.1280105252963,1.3770010516744833,2.9459996612478108,2.6310003989547113,1.9279987651569854,7.286999071351374,0.19499929084656742,232.60300345411906,1.3580008826012318,12.535998885217737,1.9089991096295762,0.11500066017129029,8.576000162604942,3.7129988643665683,0.2520013387038489,53.77199885851769,5.112998781065585,12.178000943095071,1.1440017082040868,226.2449854738943,0.09700087839883054,0.7709979565695448,0.16363877,0.39107883,0.06399566
