,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,598.984,7.622,304.237,3.35,292.965,17.461,742.322,8.5,476.331,5.039,5.542,5.191,1160.066,59.318,4.247,12590.769,15.052,571.412,552.256,18.016,6.697,2.906,0.16803542,0.25125903,0.042220417
Pareto solution 1,696.0438570336046,400.3628468811512,548.6703468296691,398.22684823864984,543.0343504115335,405.28234133918886,767.712859794733,400.8018417712374,634.7173452840179,399.07133079374034,399.3228475421056,399.14735006909905,976.5848768080286,426.2108304538924,398.67535036907066,6691.936046443414,404.07785901289026,682.2578464714043,672.6798428967104,405.5598290855414,399.90035442145745,398.0048580415678,0.16803539,0.25125903,0.04222041
