,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,2.09,30.978,13.941,0.739,0.0,0.172,42.768,4.498,0.104,0.075,0.07,0.192,1.47,0.089,0.053,0.046,0.001,0.02,0.185,0.121,0.095,84.442,0.086,0.537,0.15567367,0.31297088,0.048721325
Pareto solution 1,-0.6727493781339717,42.65925261222537,17.10375020401193,-2.6992497976870027,-3.8077496287373833,-3.549749991458839,60.344255882745074,2.9392506650189603,-3.6517494245945272,-3.695250488261081,-3.7027491411623714,-3.5197496895722225,-1.6027496321687522,-3.6742499355235623,-3.728249568474439,-3.738750413871344,-3.806249670545867,-3.777750464907058,-3.5302505349691273,-3.6262501353387506,-3.6652501863744646,122.85525250600676,-3.678749810098111,-3.0022493187673263,0.15567371,0.31297088,0.04872134
