,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,1.505,0.307,2.061,0.455,0.934,2.267,0.425,4.333,5.954,0.796,0.149,7.092,8.358,10.21,17.948,0.002,0.0,18.886,0.15689021,0.2565285,0.04024681
Pareto solution 1,2.2632224262920424,1.3647222963107097,2.6802222895276007,1.4757222842077056,1.8349723200507349,2.834722162776945,1.4532224006361396,4.384222380236104,5.599972209005367,1.7314721929376056,1.246222318535576,6.453472270623601,7.402972146741149,8.791972199980059,14.595471691631431,1.135972282291828,1.13447212079679,15.298971439309824,0.15689021,0.2565285,0.04024681
Pareto solution 2,3.021444590091633,2.422444589500259,3.2994445419467624,2.4964445240563577,2.7359445192640948,3.402444471790133,2.4814446303629296,4.43544458807529,5.245944488265273,2.6669444918972403,2.3434445756292206,5.814944529344096,6.447944432411987,7.373944525279825,11.242944243755971,2.26994449409149,2.2689444438033632,11.711944075541567,0.15689024,0.25652847,0.040246814
