,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,3.657,9.445,45.354,3.569,2.185,0.015,1.317,279.679,3.379,3236.456,3.753,8.984,1.802,5.942,17.646,36.571,2.267,2.938,15.991,3.347,269.359,3.301,2.237,7.167,28.525,18.735,12.255,14.774,1.02,255.003,1.38,5.345,2.133,3.988,9.417,6.776,1.811,19.734,5.742,12.768,37.853,16.728,2.047,21.406,248.446,42.503,242.116,2.589,223.515,15.592,13.59,2.292,8.331,1.992,26.19,3.743,18.685,2.211,1.979,3.032,2.601,4.11,50.37,219.5,196.717,1.641,2.627,41.268,53.104,2.761,2.178,27.673,2.56,3.601,13.725,2.936,20.717,2.976,3.404,58.337,179.032,1.47,5.209,185.434,173.276,31.875,152.03,234.17,0.16830537,0.27523905,0.04632421
Pareto solution 1,-34.15035212754992,-25.468349703542117,28.395154923101472,-34.28233881531378,-36.35834754159259,-39.61334359097418,-37.66034596134523,379.8826222613552,-34.56734485481138,4815.04835308576,-34.0063497291012,-26.15984247885899,-36.93283707560204,-30.722844803335647,-13.166847097931168,15.220651995141452,-36.23534678548549,-35.22883971558713,-15.649342560029254,-34.61534565429429,364.4026436227723,-34.68433775557605,-36.28034882756856,-28.885351036314205,3.1516564934454436,-11.5333515584407,-21.253358345587912,-17.47484129745135,-38.10585790553341,342.8686701399711,-37.56585408162209,-31.618346146726253,-36.43633591507387,-33.653840626478996,-25.51034264768259,-29.471845940465755,-36.91935300784553,-10.034841464113924,-31.022844629832434,-20.48384617516149,17.143656880500657,-14.543845474308,-36.565344526523404,-7.526846223574466,333.03315949021635,24.118652846550958,323.53814223239897,-35.752350373799345,295.6366693300406,-16.24784283432291,-19.250839856690618,-36.19784163690201,-27.139340051073304,-36.64785171718995,-0.3508404468502704,-34.02133317555763,-11.608351515064896,-36.3193430143092,-36.66734364028889,-35.087846415081,-35.734347488857566,-33.47084404128964,35.91915615553398,289.6141510979778,255.43964997469993,-37.17435079225925,-35.69535330211693,22.266154951987573,40.02015595525904,-35.49434349144303,-36.36884319249202,1.8736584734342614,-35.795853037182496,-34.23434835637363,-19.04835134840232,-35.23184881352972,-8.560352450614118,-35.17185298444747,-34.52985004677066,47.86965679262971,228.9121456696903,-37.43084795537288,-31.822344374257227,238.5151698966156,220.2781647262509,8.176653587266628,188.40914965413867,311.6191569844941,0.16830538,0.27523902,0.04632421
Pareto solution 2,22.560670413119055,26.901670978839036,53.83342232273495,22.494674484101438,21.456670767245953,19.829172096271236,20.80567284993748,229.57715631500378,22.35217211063656,2447.160021727206,22.632671612343415,26.555923944896676,21.16942600024123,24.27442278265835,33.05242228164451,47.2461711818969,21.518171145299505,22.02142597281653,31.811173904311545,22.328172357179028,221.83716699571232,22.293676306538146,21.495671416825815,25.19317031245299,41.211673431048894,33.86917069767367,29.00916730410006,30.898424535600498,20.58291752412731,211.0701802543117,20.85291878979905,23.826672110963045,21.417676580505315,22.80892357851883,26.880673860484876,24.899922860377217,21.176168680403407,34.618423159701365,24.124422223126032,29.393922096745428,48.20767330143454,32.36392180088825,21.353171628496625,35.872421426255016,206.15242751457004,51.69517128445969,201.40491371538997,21.7596699974265,187.45417726421078,31.511923767164717,30.010425902264785,21.536923719591243,26.066174512505597,21.311919325731196,39.46042496090104,22.625177950263435,33.831670073077646,21.47617238460373,21.30217207161388,22.091920684217826,21.768670793613467,22.900423809965275,57.5954229389512,184.44292073331508,167.35567146424398,21.04866978819655,21.788169825835553,50.76892298346192,59.64592316195569,21.888673438604656,21.45142358808016,40.5726744210433,21.737919312018846,22.51867165242328,30.11166951012501,22.019921423845233,35.355669605303035,22.04991933838636,22.37092016094084,63.57067374221201,154.09191801917132,20.920421852923653,23.72467299719756,158.89343013263397,149.77492625488378,43.72417262424341,133.84042065767943,195.44542367657323,0.16830535,0.27523905,0.046324205
