,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,6.329,594.638,447.754,7.699,16.176,7.193,17.238,34.992,7.367,12446.656,2764.551,5.05,0.20761418,0.276265,0.057356533
Pareto solution 1,6.328882363617595,594.6380062456301,447.75400216461276,7.6989596367384365,16.17603679106469,7.19298128650189,17.23796855256296,34.991979072863614,7.366949629682495,12446.656096872437,2764.5510721949977,5.049975120109593,0.20761411,0.2762649,0.05735649
