,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,58.757,8541.198,2565.158,2.98,4.261,2849.162,3.349,0.58,3.436,3.258,0.486,8.289,0.511,20.207,1.296,13.121,1.319,1.462,3.588,1.371,68.317,12.404,0.245,1.858,1.644,24.274,63.615,61.755,1.577,1.671,1.415,0.519,0.16980182,0.27424788,0.04656779
Pareto solution 1,253.17668412859712,4494.397342010809,1506.3771342685213,225.2882016538424,225.92867780554297,1648.3791954661137,225.47267721171738,224.08817259683565,225.51617820567117,225.42718163070458,224.04118107552858,227.9426883433007,224.05367098973147,233.90168339770025,224.44617722884504,230.3586794087023,224.45769359460246,224.52919004263458,225.5921862196701,224.48369446162178,257.95670014298776,230.00017612992815,223.92067477404635,224.727176553326,224.62020494974422,235.93518864945145,255.6056875000504,254.6756875387,224.58667689108552,224.63369215747662,224.50568240943903,224.05768390893354,0.1698018,0.2742479,0.04656779
