,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,1.037,145.896,53.426,177.516,12.768,16.054,646.651,0.0,3.388,26.234,6.938,19.749,28.676,1320.784,44.836,6.976,2.792,2.867,77.405,656.017,0.359,0.175,0.886,78.692,1292.625,79.267,707.848,0.051,110.597,4.487,0.0,0.0,1252.586,5.405,128.098,119.512,4.984,0.637,114.703,38.062,1295.867,0.305,0.291,5.313,67.018,1193.644,4.106,1209.049,5.277,55.827,3.451,82.106,89.507,3.856,78.302,66.823,5.887,55.656,0.723,1.674,0.197,0.215,59.26,2.471,14.427,56.464,3.511,442.755,63.862,53.724,4.739,1186.85,5.06,3.765,0.496,0.854,1.699,6.602,6.62,1197.649,2.063,1.682,20.209,3.637,0.19152585,0.29307723,0.056131866
Pareto solution 1,-42.01468710281654,139.05905594039658,23.471553369361686,178.58406815400616,-27.350923741989163,-23.243432982923878,765.0027657912215,-43.3109398691721,-39.07593456044833,-10.518460412879222,-34.63844124783657,-18.62466555255355,-7.465946831127553,1607.6690777774702,12.734059265706378,-34.590940198456224,-39.82093782874665,-39.72717220282152,53.44531645692598,776.7103662967643,-42.86219161531494,-43.09218663975298,-42.20343959659397,55.05405207829688,1572.4702823357502,55.77280279904517,841.4990727035797,-43.24719159442509,94.93530853232681,-37.702181393698766,-43.3109398691721,-43.3109398691721,1522.4216281406252,-36.554693063460036,116.81156817510487,106.07906219394687,-37.08094448696727,-42.5147039789382,100.06781519496303,4.266558978886906,1576.522700899338,-42.92970469369004,-42.94718839189227,-36.669690575679056,40.46155829170448,1448.744052827904,-38.178436668105974,1468.0002078396565,-36.714700679223824,26.47279971347689,-38.9971949179627,59.321567068662375,68.57282082397717,-38.4909389079138,54.56655223961468,40.21780837236338,-35.95219571255882,26.259050529777483,-42.40718345811001,-41.21843459704621,-43.064679619202934,-43.04219187528099,30.764056920764347,-40.22220303338793,-25.277192641394436,27.26907160403971,-38.922185463404276,510.13277131253517,36.51655917109838,23.844055695824864,-37.38718682342733,1440.2515198508336,-36.985941003578546,-38.60469856266923,-42.690939435276164,-42.243429038882596,-41.187196003940926,-35.058428008143665,-35.03594164884976,1453.7502807214032,-40.73218923136403,-41.208427890234816,-18.04969322236684,-38.76468956289659,0.19152583,0.29307726,0.056131866
Pareto solution 2,1.0370027026526714,145.89599644490914,53.42599397269282,177.51600637156747,12.768011729760929,16.054005444715585,646.6509644640319,-6.181342087074881e-07,3.3880041826960223,26.23398460845374,6.937999386636648,19.749018281309418,28.67599492000386,1320.7840184838406,44.835999797471004,6.975999118438494,2.792002121908581,2.8670129610950426,77.40500444274426,656.0170426530613,0.35899743110030613,0.1750025192523026,0.8860007076307284,78.6919940475434,1292.6249821304646,79.26699407029082,707.8480122093233,0.05099800166340174,110.59699893384175,4.487005608393247,-6.181342087074881e-07,-6.181342087074881e-07,1252.5860587743646,5.404997380286659,128.09800637113858,119.51200130928657,4.983995687629658,0.6369892017553411,114.70300398702511,38.061997906461784,1295.8669169813347,0.30498862995386844,0.29100111754087266,5.312999924362657,67.01799846441827,1193.6439940933778,4.106003050421123,1209.0489225335896,5.276991287675628,55.8269916018362,3.4509964505357402,82.10600493213337,89.50700793638521,3.8560001508724326,78.30199417659765,66.82299852894539,5.886994707156418,55.65599280872789,0.7230050645666779,1.674003599566504,0.19700702798991188,0.2149988846811084,59.25999681381495,2.4709899581955597,14.426998271790353,56.464009114286455,3.511003460331267,442.7549710964877,63.86199916793339,53.72399638771458,4.739002372312825,1186.8499677117215,5.0599979204894225,3.7649940886217337,0.49600083668497064,0.8540074922461827,1.698996135604375,6.602008316837328,6.619997404272453,1197.648980838987,2.063000999814676,1.6820095188668347,20.208997253161215,3.6369990730349855,0.19152582,0.2930773,0.056131866
