,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,21.955,11.761,8.941,8.54,5.473,7.492,3.723,10.565,61.832,6.468,15.069,102.432,484.511,499.253,516.754,54.804,122.082,9.581,8.138,9.084,795.929,308.39,320.306,570.724,309.859,2098.065,295.034,270.934,1290.433,1147.346,1214.331,43.126,331.98,11.134,670.112,10.714,261.415,13.076,355.721,10.85,14.214,12.747,3.078,237.41,7.628,1589.762,94.587,10.019,484.103,8.767,508.718,9.138,252.752,1588.617,467.764,11.894,11.132,8.148,10.114,2669.024,18.513,14.784,182.082,1986.092,4.986,427.845,339.247,9.89,13.204,10.02,12.874,62.53,12.081,13.619,306.817,42.164,10.037,11.024,7.866,10.328,28.903,2026.547,283.457,154.428,98.327,144.353,107.658,164.527,0.19409509,0.28786922,0.055874
Pareto solution 1,92.60755903086147,84.96207196322894,82.84708196785459,82.5463240529607,80.24607178648921,81.76032935276044,78.93356387817357,84.0650821762265,122.51532706115859,80.99231289888485,87.44306196214939,152.9653322704562,439.52457140157617,450.5810729829825,463.7068555279782,117.2443234718121,167.70282582811888,83.32707076796214,82.2448267037471,82.95432792280872,673.0880891936326,307.43383789096686,316.37082643720396,504.18432355147706,308.5355835361287,1649.6900075123576,297.416824207996,279.3418205294034,1043.9660610080327,936.6508230566233,986.889645471957,108.4858258768511,325.1263345691569,84.49183969919932,578.7253263704474,84.17681669734839,272.20258517029055,85.94831347109175,342.93208385710426,84.2788266579305,86.80182052315286,85.7015902187286,78.44982594621797,254.19882986044001,81.8623193286312,1268.4627890540578,147.08157744660457,83.65559144385452,439.2185794907814,82.71656581501202,457.67982031614883,82.99482893881759,265.70532468908056,1267.6040540015092,426.964334204421,85.06183564225603,84.49032485807948,82.25233695827,83.72684493367888,2077.909212272847,90.02607790942102,87.22931748044539,212.70283003172494,1565.7104293698758,79.88081121726282,397.0250792621665,330.5765825333972,83.55882946847123,86.04433601215533,83.65631888734742,85.79682536216524,123.03883257021675,85.20208035258065,86.35556991273552,306.25406643692406,107.76432783556993,83.66907712706916,84.40931483217719,82.04081877340968,83.88733015965227,97.81858050758137,1596.0516338136767,288.7340767878161,191.9623168898545,149.88658156900942,184.40607155072667,156.8848177949444,199.5365764477874,0.19409503,0.28786922,0.055873983
