,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,6.838,32.489,18.512,4.212,5.509,14.379,4.832,15.135,61.813,6.534,46.054,1.963,57.002,31.814,82.906,68.222,31.703,2.303,2.767,5.36,15.388,104.906,58.985,24.796,3.181,4.103,9.348,38.999,0.17209506,0.26024365,0.044786647
Pareto solution 1,16.991376856365832,29.816876345314625,22.828376868582723,15.67837724004687,16.32687732574277,20.761876972853088,15.988376408947602,21.139877261012373,44.4788766502254,16.839377628204943,36.5993779557391,14.553877094605127,42.07337659674681,29.479376774924305,55.02537780978355,47.68337829469942,29.42387673099134,14.723876823647288,14.955877368582946,16.252377480593168,21.266377143637783,66.02537799377205,43.0648773152443,25.970376921657348,15.162877399723016,15.623877314877063,18.246376950271724,33.07187764451277,0.17209503,0.26024354,0.04478662
