,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.095,856.218,0.005,0.089,1.852,1.383,0.13412486,0.27801082,0.037288163
Pareto solution 1,-71.49431694859595,1212.6901807732065,-71.62932347752576,-71.50332498557691,-68.85881998555305,-69.56234007204694,0.13412486,0.27801085,0.037288167
Pareto solution 2,0.09500924452322579,856.2180029746505,0.005004891903354292,0.0890062620730987,1.8520088035766094,1.3829946207349622,0.13412486,0.27801085,0.037288167
