,Node_0,Node_1,Node_2,Node_3,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.727,17.814,2.109,5364.624,0.14632416,0.23858644,0.03491096
Pareto solution 1,337.1249250297187,349.9401334316135,338.16132798814215,4360.0477121837175,0.14632414,0.23858644,0.03491096
