,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,3.952,2.444,4.916,7.206,0.567,15.041,1.79,4.04,288.857,0.445,1.365,3.34,1.488,8.948,12.598,22.371,3.265,159.132,3.993,4.084,7.715,4.701,1.527,3.27,6.122,13.113,0.751,0.484,288.951,5.746,3.052,44.701,0.199,4.243,212.628,0.959,3.421,2.266,0.355,2.366,7.695,6.581,1.392,0.304,1.966,0.76,14.017,6.553,13.674,0.05,0.17,230.015,11.017,10.155,0.304,1.366,54.507,106.59,44.361,40.308,62.502,1.366,1.177,69.516,92.188,0.143,233.954,72.198,1.538,74.399,10.58,83.723,11.127,2.19,1.461,9.619,11.503,0.479,7.648,0.632,0.62,1.957,2.013,17.608,1.892,303.152,0.435,1.069,141.787,1.741,378.824,145.387,1.508,1.371,0.599,3.942,1.0,0.863,378.828,0.735,20.285,22.211,1.744,0.808,73.065,0.66,47.482,1.556,0.19456986,0.29365405,0.057136226
Pareto solution 1,3.951999203580499,2.443999448287059,4.9160011437290905,7.205999906147326,0.5670019178178336,15.04100007044508,1.789999508835308,4.040000784523727,288.8569886360365,0.444998473701844,1.365002289680433,3.340000032136004,1.4879987830188384,8.947999623469059,12.597999441375578,22.371000339479224,3.2650017078963174,159.1320037844789,3.993000997250647,4.084001278739606,7.715000438851121,4.701000061961395,1.5270002579688935,3.270001319673611,6.12200076571753,13.112997967682304,0.7509998369584991,0.4839999486518991,288.9509846555138,5.746000689998482,3.0520015373601836,44.70100007730292,0.1990001544218103,4.242999953970866,212.62802281486802,0.9590009882288086,3.4210016825818457,2.2659989302378563,0.35499953659586936,2.366002423501641,7.695000214207539,6.580999848045167,1.3919988897525855,0.303999704394073,1.9659991156529486,0.7599994936645089,14.01699982641162,6.552998348521214,13.674000269482349,0.05000011023366824,0.16999731051487288,230.01500643404324,11.017001680562544,10.154997627283137,0.303999704394073,1.366001264017541,54.50700075355701,106.58999576584438,44.36100025781445,40.307998727769245,62.501998271167395,1.366001264017541,1.177001363053705,69.51600032343617,92.18800434704872,0.14300071044272045,233.95399898097094,72.19799815626538,1.53799727083765,74.39900288102945,10.580000179041235,83.72300036529123,11.12700024980063,2.189996891569308,1.4609986278778706,9.618999901995721,11.503000325519679,0.47900033687460564,7.648000426934459,0.6320010185029332,0.6199991061823766,1.9570018289928157,2.0129989029260287,17.608000018514645,1.8919968031930239,303.15199618394945,0.4350028052160724,1.0690001499783648,141.7869984178751,1.7410023653994813,378.8239822636824,145.38700093298576,1.5080013777082968,1.370997320726019,0.5990004997131564,3.9420011650488505,0.9999998193416104,0.8629987249166788,378.8280018614896,0.7350002497551031,20.28500001710097,22.21100031986498,1.7440010659452128,0.8079976627632277,73.06500241383355,0.6599995554695397,47.48199842960639,1.5560001393184848,0.19456995,0.29365402,0.05713625
Pareto solution 2,12.244743807169812,11.113744286955466,12.967745262281255,14.685244630350667,9.70599599097568,20.561494605446114,10.623244332366653,12.3107451410051,225.92348484461672,9.614493556016555,10.304495973616895,11.785744724842175,10.3967437880043,15.991744566469833,18.729244133643988,26.058994659093855,11.729495537278808,128.62974679846002,12.275495152422423,12.343745363539142,15.066995029878512,12.806494450955483,10.425994894216842,11.733245542367513,13.872245126900452,19.1154931765019,9.843994578459046,9.643744662229096,225.9939842292706,13.590244921983299,11.56974585376031,42.80649464762146,9.429994668428662,12.462994518090454,168.75176166376332,9.999995145656044,11.846495814548689,10.980243454034962,9.54699405693134,11.055246222110668,15.051994713267959,14.216494586774047,10.324743571798876,9.508744479035727,10.755244037479883,9.850744172860686,19.793494570548887,14.195493314003215,19.536244754724066,9.318244635287556,9.408242683626327,181.7919981931218,17.543495664906345,16.896993069330392,9.508744479035727,10.30524550062546,50.16099504371613,89.22324108073985,42.55149467190921,39.51174359843924,56.15724325598785,10.30524550062546,10.16349572303045,61.41774464706157,78.42174751664311,9.387995085444345,184.7462437883405,63.42924316981134,10.43424265386841,65.07999671338439,17.21574468689323,72.07299482658073,17.62599459183491,10.923242369417153,10.376493227264973,16.49499418285336,17.907994796752064,9.639994657140392,15.016744724685282,9.754745168361637,9.74574373412122,10.748495628101182,10.79049402606256,22.48674464056222,10.69974230313494,236.64474287559733,9.606996508396492,10.082494961351813,115.62099395853011,10.586496178534048,293.3987312503741,118.32099406732868,10.411745289637793,10.308992543156819,9.729994779269305,12.23724557452681,10.030744417118513,9.927993744427681,293.4017459487295,9.831994739928632,24.494494639501966,25.93899479251104,10.58874505581548,9.886742799684725,64.0794966592432,9.775744367342327,44.8922433748171,10.447744805229036,0.1945699,0.29365408,0.057136245
