,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,9.578,265.547,4255.481,4.95,4230.05,12.593,37.416,52.528,6.772,4.007,13.373,92.979,76.843,20.005,38.91,3.695,0.14722401,0.26195794,0.0385665
Pareto solution 1,-270.78069733377924,113.17278106837693,6098.073847789288,-277.7226896591601,6059.926970120927,-266.2581865678367,-229.0236457536812,-206.35568584594876,-274.9897372397754,-279.13715962402784,-265.08828184720187,-145.67915641677973,-169.88324776712398,-255.14019921707222,-226.78272249650036,-279.60517120383156,0.14722396,0.2619579,0.03856648
