,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.57,5.224,1.819,2.29,0.455,1.093,11.2,109.118,155.672,3.841,3.232,101.72,27.352,5.176,22.015,4.29,6.524,19.852,8.075,98.295,4.789,4.838,4.199,1.567,3.692,1.258,17.341,95.87,2.547,91.99,5.073,2.329,2.103,90.256,2.079,67.875,64.132,2.468,49.307,1.486,18.871,1.635,27.053,3.106,14.431,9.361,1.044,16.073,24.324,5.069,1.865,0.541,1.731,3.162,1.3,0.533,0.743,0.713,1.46,0.316,0.629,0.38,0.19940329,0.2652942,0.052900534
Pareto solution 1,5.4168222274846585,8.90732138850808,6.3535719308082435,6.7068222845264245,5.330572044432756,5.809072094447856,13.389321183297852,86.8278177243028,121.74331369056063,7.870070981340234,7.413322224437138,81.27931955038366,25.50332125130467,8.871322260943487,21.500571267157632,8.206821324511623,9.882321500043872,19.878321171634347,11.045571987750861,78.71056471041629,8.581071691652994,8.617821715143577,8.138571664649078,6.1645715541576465,7.758321037830626,5.932821789785976,17.995071440951392,76.89182365362649,6.899572535653078,73.98182077018828,8.794071444039673,6.736072431143953,6.566572066957747,72.68132019475115,6.5485725671359205,55.895572641164335,53.08832353311118,6.840322625701447,41.96957064740229,6.103821643247215,19.14257190260087,6.215572098440589,25.279071299845583,7.318820884823367,15.81257158094968,12.010071452970351,5.772321687194449,17.044071632578508,23.232321078891914,8.79107195380584,6.388071952860628,5.395071829819244,6.287570865253542,7.360822574641986,5.964321042395113,5.389072849351578,5.546572182499858,5.52407140059222,6.08432035157341,5.226322361559028,5.461071104480766,5.274321624714958,0.19940323,0.2652942,0.05290052
Pareto solution 2,10.26364359266745,12.590643203910986,10.888143394883173,11.123643801256549,10.206143641194103,10.525143674537503,15.578643067104167,64.53764076110747,87.81463875419104,11.899143017746383,11.59464359063577,60.83864197849471,23.654643112442045,12.566643700253962,20.986143133670765,12.123643246527308,13.24064327826818,19.904643057995987,14.016143518125546,59.126138751849794,12.373143320726967,12.397643251106729,12.078143302724357,10.76214331434403,11.824642884845389,10.607643471429583,18.649143238873194,57.913644713989925,11.252143968674318,55.973642791697785,12.515143240932048,11.143144069562823,11.030143826772019,55.10664172582801,11.018143819101624,43.916144380137666,42.044644633646385,11.212644028706563,34.632142880401716,10.721643544298331,19.414143535979434,10.796143677199325,23.505143187442968,11.531643038682432,17.194143332205385,14.659143246885833,10.500643232473976,18.01514338794476,22.14064299750021,12.513143580776159,10.911143580146017,10.249143498118428,10.844142684513372,11.559643909386295,10.628642973169008,10.245144177806651,10.350143733238838,10.335143211967079,10.708642683182461,10.136643682050362,10.293143185120698,10.168643361382237,0.19940326,0.26529416,0.05290052
