,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,7.949,10.56,6.732,20.095,6.663,9.609,5.572,6.273,4.118,39.185,5.44,55.09,93.277,67.809,13.692,138.105,200.612,263.454,492.534,0.809,705.044,0.809,707.01,0.768,707.847,0.836,709.161,710.555,0.15317771,0.2759929,0.04227596
Pareto solution 1,-34.61382595998157,-31.350074744228095,-36.13507847625942,-19.431314783378184,-36.22132854352958,-32.53882567138635,-37.58505301141258,-36.70882892375221,-39.402579694937685,4.431176567372404,-37.75007907097461,24.312416475206874,72.04617677663919,40.21117821044504,-27.435071690747918,128.08116745548557,206.21492487144553,284.76743344512465,571.1173904919451,-43.53883292098044,836.7549115039219,-43.53883292098044,839.2124120908456,-43.590070327963986,840.258638970673,-43.505082894657335,841.9011402517308,843.6436389512064,0.15317768,0.27599293,0.042275958
Pareto solution 2,93.07465328404032,94.38014898310394,92.4661474902914,99.14765536106279,92.43164746338334,93.90464861224063,91.88615767623014,92.23664731129429,91.15915179005788,108.69264950774414,91.82014964602422,116.64514906130626,135.73865198506974,123.00465136178263,95.946150204496,158.152648855013,189.40615062458755,220.82715584927337,335.3671374711921,89.50465049964077,441.6221458759828,89.50465049964077,442.60514132351454,89.48415314322847,443.02364164992105,89.51815051017002,443.68064216234416,444.37763206765885,0.15317772,0.27599287,0.042275958
