,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,Node_134,Node_135,Node_136,Node_137,Node_138,Node_139,Node_140,Node_141,Node_142,Node_143,Node_144,Node_145,Node_146,Node_147,Node_148,Node_149,Node_150,Node_151,Node_152,Node_153,Node_154,Node_155,Node_156,Node_157,Node_158,Node_159,Node_160,Node_161,Node_162,Node_163,Node_164,Node_165,Node_166,Node_167,Node_168,Node_169,Node_170,Node_171,Node_172,Node_173,Node_174,Node_175,Node_176,Node_177,Node_178,Node_179,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,10.717,34.981,9.936,78.689,52.527,10.783,9.392,9.154,9.168,11.895,11.848,34.576,9.035,38.496,1121.505,26.763,3.956,40.108,265.761,32.922,1459.903,58.011,1477.896,25.113,3.239,4.917,4.434,4.297,1491.407,3.432,3.866,10.438,39.076,1507.151,1643.887,1561.339,35.14,4.007,1749.504,4.609,1776.377,4.7,3.913,4.481,2.758,17.109,3.782,4.364,3.282,3.517,1787.757,2.617,3.321,2.608,3.43,11.35,4.431,9.662,13.073,2.549,17.045,22.54,2.661,1.785,3.369,2.771,7.852,41.057,1.654,5.717,3.58,1.95,10.47,19.533,2.274,44.806,3.044,64.604,49.512,6.099,1.512,1.725,3.666,1.212,1.829,70.514,2.184,6.504,59.12,5.325,2.039,1.975,61.036,76.211,5.197,2.015,1.985,141.896,70.946,4.648,1.729,1.72,77.67,86.079,73.863,79.436,1.961,1.253,138.41,143.598,69.512,2187.325,138.729,1.076,4.3,1.509,2332.272,2347.562,2350.836,4.295,5.824,2.226,2354.632,2362.518,3.914,2385.572,772.195,765.59,3171.661,2.492,5.011,3173.394,3177.58,4.422,3.495,8.18,2.507,2.852,3.455,12.088,4.367,5.209,27.415,312.511,558.046,284.662,3717.544,18.62,3709.423,3706.39,3704.008,3703.691,5.801,261.579,255.516,2.374,3.422,2.359,3.928,236.085,230.314,3.368,2.566,3.165,6.519,3.247,224.146,12.936,2.409,27.475,44.936,4.562,15803.933,2.112,5.258,4.28,13.951,1069.327,2.811,3.331,0.18855256,0.28025153,0.052842144
Pareto solution 1,-102.81088860110412,-72.48090839833822,-103.78716316781993,-17.84590352774103,-50.54838823323462,-102.72841351832267,-104.46720575639392,-104.76466517049357,-104.74718497507638,-101.33839613097462,-101.3971461687288,-72.98717189603849,-104.91342717848966,-68.08715603297696,1285.6741418564188,-82.7534329828477,-111.26217816570716,-66.07218532089973,215.9940701764831,-75.05464779625981,1708.671479683897,-43.6934060492631,1731.1629731075045,-84.81588608592574,-112.15835176919154,-110.06090597433285,-110.66468064529818,-110.83591334490848,1748.051630528873,-111.91713368601995,-111.37465544407223,-103.15970113626463,-67.36217744466558,1767.7316711240564,1938.6516222056944,1835.4666154585302,-72.28218759346146,-111.19843763175595,2070.672911114276,-110.4458955693035,2104.2640325357934,-110.33212625308806,-111.31590540631805,-110.605930607544,-112.759650034277,-94.82088885002668,-111.47967120385147,-110.75214622427666,-112.1046568295269,-111.81093355821122,2118.4890785597654,-112.93590553103058,-112.05585009972947,-112.9471408768377,-111.91968007728337,-102.01965538852437,-110.66841678808214,-104.12969855242409,-99.8659036608451,-113.02092700507546,-94.90088752692827,-88.03212898937727,-112.88088625256933,-113.97588833075133,-111.99594799489205,-112.74339189132661,-106.39216449822925,-64.88587923462546,-114.13965412828475,-109.06090636258978,-111.73215693377642,-113.76966293936039,-103.1196479629034,-91.79088243572278,-113.36468444214643,-60.19965795136159,-112.40211624362655,-35.4521803051648,-54.31718727386669,-108.58342300800632,-114.31713167750513,-114.0508965114559,-111.62470245255463,-114.69217796451903,-113.92090673672737,-28.064630886256055,-113.4771617205115,-108.07715951030605,-42.307124804699015,-109.55087403290236,-113.65840771346211,-113.73843869130997,-39.91211730941086,-20.943418919726355,-109.71094137208911,-113.68840990904573,-113.7259489920898,61.16282204814388,-27.524666734625498,-110.39715882488963,-114.04594369969618,-114.05717904550329,-19.11963750855648,-8.608408931192571,-23.87842825108237,-16.912120855829016,-113.75591888672716,-114.640927129788,56.805351720668114,63.29034002396975,-29.31715391236139,2617.9489956485486,57.20412305270929,-114.86215631071627,-110.83221488656181,-114.32093242218161,2799.132755442697,2818.2454406838224,2822.337755235203,-110.83838975078834,-108.92714276063998,-113.4246188479301,2827.0829795803,2836.940367019997,-111.31465105290499,2865.757979234477,849.0366258553904,840.7803640208085,3848.368850306204,-113.09213444110355,-109.94343819977075,3850.5354470435122,3855.767920395945,-110.67968443483551,-111.83842704696872,-105.98215782038096,-113.0733998922733,-112.6421822597149,-111.88845582923295,-101.09714036336572,-110.74844776593,-109.69590528160552,-81.93841012334815,274.43157743338816,581.350359983566,239.62032679724484,4530.72274385675,-92.9321448524388,4520.571633145737,4516.780492617276,4513.803077526973,4513.406292703126,-108.95589060281054,210.7665927037383,203.18785667566772,-113.23971208107014,-111.92966106967742,-113.25837664451683,-111.2971708574878,178.89910630125996,171.68533597322494,-111.99713236292155,-112.99964606498179,-112.25091013069687,-108.0584249614758,-112.1484084612348,163.9753342830486,-100.03716866140167,-113.19592814841599,-81.86343424358984,-60.03711420629497,-110.50468329149498,19638.708242951543,-113.5671736907534,-109.63464115353418,-110.85719428500215,-98.7684574777295,1220.4517104762326,-112.69339541000863,-112.04343038589286,0.1885525,0.2802515,0.05284212
Pareto solution 2,237.77282437866597,249.9048229199616,237.38232747235816,271.75882486820046,258.6778245258138,237.80581441177856,237.11031043692856,236.9913137509102,236.99831228926632,238.36182136671778,238.33832781180536,249.70231752088148,236.931815407901,251.66231740591684,793.1668365616752,245.79581954634705,234.392315013014,252.46831215093698,365.29481757998474,248.87532716079295,962.3658039936126,261.4198303197809,971.3623496815417,244.97083184492658,234.033839111431,234.87282388956373,234.63132048136686,234.56282094133348,978.117812650089,234.1303328048889,234.34733056185723,237.63330582479102,251.95231530143064,985.9898547289195,1054.3578222411961,1013.0838453830875,249.98430478172304,234.4178112265945,1107.1663378046287,234.71883451176473,1120.6027992936142,234.76433577806165,234.37082411676965,234.65481403627928,233.79332626558607,240.9688307392862,234.3053177977563,234.5963277895862,234.05533000767537,234.17281931620164,1126.2928047828245,233.72282406688464,234.07483977921584,233.71832346837255,234.12932070857278,238.08933058407638,234.62981310387477,237.24530685832724,238.95081835476958,233.68882193745594,240.93683126852557,243.68432822335672,233.74483177826914,233.30683094699634,234.09880708134006,233.79982952276623,236.34032048000518,252.9428345854467,233.24132462798298,235.2728172740717,234.2043235057863,233.38932756374197,237.64932709413551,242.1808268448185,233.55130604224905,254.81732309875224,233.936333321657,264.71631415723095,257.17031782993945,235.4638235362836,233.17032714810557,233.27683413490377,234.24730529827502,233.0203215536785,233.32881712441667,267.67133392479445,233.50632159109227,235.6663289353637,261.974329897228,235.07683666613593,233.43381673372278,233.40181726296214,262.9323328953433,270.5198251715956,235.01281619065048,233.42182231567858,233.4068131426502,303.36231832864905,267.8873195854467,234.73832274934102,233.27881525960765,233.27431466109556,271.2493312758743,275.4538162466306,269.3458149788639,272.132331476776,233.394818724606,233.04082188757093,301.6193269675641,304.21331905879015,267.1703247143523,1326.0767845387163,301.77882904019134,232.9523172948211,234.5643067848614,233.16881977061348,1398.5502884563757,1406.1953625528258,1407.832288373378,234.56183037898154,235.32632917504088,233.52733874012483,1409.730378111417,1413.6733330872958,234.37131939794563,1425.2003779730876,618.5118301612638,615.2093383478095,1818.2447522425355,233.66033250285545,234.91981099938857,1819.1113650967018,1821.204380278432,234.62531250536267,234.1618154605094,236.5043231511445,233.66782632238755,233.84031337541091,234.14181040779295,238.45833659413984,234.59781363311413,235.01882416665467,246.12182222995762,388.66981725265214,511.4373318877706,374.7453153831475,2091.1862838219968,241.72432833832136,2087.1258395375917,2085.609331644693,2084.418417290086,2084.2597550420614,235.31483003817266,363.2038265908868,360.17232894956396,233.60130790705807,234.12531539123665,233.59383562149014,234.37831793630176,350.45682879980086,347.57132066858685,234.09833333412826,233.69732785330416,233.99682222701813,235.6738227548958,234.03782289480296,344.48732322261094,238.8823188147362,233.61881501993048,246.1518190420502,254.88233413658963,234.69531942288813,8134.380483459914,233.4703168029955,235.0433298178832,234.55431502548527,239.38980974839433,767.0778575494114,233.81983457548267,234.07981412493973,0.18855251,0.28025147,0.05284212
