,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,112.084,32.159,2362.011,2504.035,35.316,182.708,54.375,36.597,0.1551023,0.24241498,0.03759912
Pareto solution 1,250.29062763988622,190.34691538251354,1937.7358708296815,2044.253873675494,192.71464188607206,303.25868107226415,207.00890469947626,193.67542774287722,0.1551023,0.24241497,0.037599117
Pareto solution 2,388.4972999370075,348.53482509875903,1513.4608055550489,1584.4728074522573,350.11331451355363,423.80933047950384,359.6428230558231,350.75382825991255,0.15510233,0.24241495,0.037599124
