,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,4.067,14.641,3.239,34.348,2395.607,2395.607,60.889,1.448,0.972,26.177,10.81,1.984,7.808,1.499,0.15419595,0.2481637,0.038265835
Pareto solution 1,-171.0100995394714,-155.14912821058533,-172.2520349434708,-125.58861123651877,3416.299572102347,3416.299572102347,-85.77707189572902,-174.9386139343842,-175.65256407862034,-137.84510316288652,-160.89560709594662,-174.1345381421561,-165.39856070920723,-174.86210153200955,0.15419598,0.2481637,0.038265843
Pareto solution 2,179.1440782195723,184.43107280281583,178.73009147100947,194.28457846083802,1374.9139977488157,1374.9139977488157,207.55508329387158,177.83457342126803,177.59657761901144,190.19907701176726,182.51557984102874,178.10259040478104,181.01458288243066,177.8600734151114,0.15419596,0.24816372,0.038265843
