,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,28.253,42.453,26.436,32.963,25.857,182.58,136.073,27.558,213.144,615.737,257.786,549.447,1805.46,36.899,100.224,28.714,7.239,20.776,23.615,38.288,2730.635,48.037,6.792,2.798,5.393,10.179,14.077,46.333,4.386,10.011,16.178,9.439,13398.436,20.583,5.352,1611.934,6.844,5.338,4.299,4.541,90.568,3.516,2.54,3736.259,13.153,13357.95,24.573,5.486,6.154,6.494,74.536,11.079,2695.009,5.067,8.023,13351.996,3721.234,9.635,1594.842,3696.798,5.166,3659.711,750.095,2.361,2.483,11.331,44.506,11.582,12.918,5.201,3302.907,14.621,8.492,5.01,50.218,3.186,22.098,2151.461,0.21308284,0.41222847,0.08783881
Pareto solution 1,28.2530056475116,42.453025605063885,26.43589569802134,32.96297283982494,25.8570048944639,182.5800285104815,136.07299961528406,27.55798938468797,213.14395797791076,615.7369933922164,257.7860135940682,549.4470404339518,1805.4599280182738,36.899003166712646,100.22402445221087,28.71395466028116,7.239027966163121,20.77604699892254,23.615013086706313,38.28799778863322,2730.6349748969005,48.036947654618416,6.792030774642626,2.797977637495933,5.392956510760996,10.179010030115023,14.077057072543539,46.332989171023655,4.386010258695023,10.010929505453532,16.177993771907495,9.439064511738252,13398.435780676547,20.583056784820656,5.351959313557018,1611.9339460167084,6.843985840037931,5.338007492307952,4.299045902211219,4.541017188337719,90.5680068891379,3.515987459803,2.5399388032928982,3736.2591372119496,13.153043320176948,13357.949232106097,24.57297826674767,5.4859886121084855,6.154059297412459,6.494072566336399,74.53596709586782,11.07895239989739,2695.009009317255,5.06699486152138,8.023044473549817,13351.996455039829,3721.233883993249,9.635028719210823,1594.842016901468,3696.79811736221,5.1659949092972965,3659.7110228516394,750.0949631204412,2.361000208875339,2.482973856447643,11.331023287671997,44.50603909581696,11.581936513597611,12.918018005144404,5.201004200385796,3302.906986550537,14.621018423760688,8.491977361140016,5.0100299146761245,50.21802249749453,3.1859939537789614,22.098076870785007,2151.460943380196,0.2130829,0.41222847,0.087838836
