,Node_0,Node_1,Node_2,Node_3,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,3.44,6.56,69.981,9.91,0.17617397,0.2347345,0.04135411
Pareto solution 1,8.198188466204186,10.538187656947287,58.10394023139588,13.05068806446917,0.17617397,0.2347345,0.04135411
