,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,2.321,510.623,4.825,3.621,277.94,10.702,241.621,259.907,1.964,297.638,1.342,7.877,1.292,38.814,12.235,25.048,318.543,4.556,406.422,5.553,7.444,440.545,2.128,2.149,2.61,391.995,370.647,60.871,386.322,19.432,45.34,1.825,5.004,1.342,2.586,1.462,0.1490986,0.28051344,0.041824162
Pareto solution 1,-26.08864372730477,609.2888515634768,-22.95865377332177,-24.46364022591149,318.4351110778531,-15.612402834661566,273.03635184412815,295.8938646294955,-26.53490120672666,343.05760856704455,-27.312391690405434,-19.143648326937182,-27.37489772981189,19.527594593305196,-13.696138850940201,2.3201037035727268,369.18885689706735,-23.29489900218357,479.0375966788913,-22.04865068261097,-19.684901034070776,521.6913922550907,-26.329892500269466,-26.30364249378067,-25.727393871946674,461.0038385365333,434.31887264578336,47.09885038521452,453.9125908190981,-4.699909260839945,27.68509576174256,-26.708648910275542,-22.734895588594895,-27.312391690405434,-25.757409494862486,-27.162389723320985,0.14909858,0.28051344,0.041824155
Pareto solution 2,2.3210039634686837,510.6230001960939,4.824996417929242,3.621006273309149,277.9400073163208,10.701996186309088,241.62100042061502,259.9070106489089,1.9639974886570144,297.63800579894814,1.342005101713994,7.877000283762754,1.2920007614629867,38.81399437431958,12.23500737328618,25.04800239944484,318.54300348041807,4.555999252291485,406.42199727097386,5.552998399223725,7.443998609330038,440.54503078428843,2.1280044538227685,2.1490039677396453,2.610003356481002,391.99498977453914,370.64701509684255,60.870999253484115,386.321991600591,19.431992027914703,45.33999555470655,1.8249988345437487,5.004001983162425,1.342005101713994,2.5859923319708287,1.4620061841073948,0.14909859,0.2805134,0.041824155
