,Node_0,Node_1,Node_2,Node_3,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,43.137,4510.732,752.996,7.951,0.15206134,0.2439213,0.037091
Pareto solution 1,-599.6464176531008,6101.745624848001,465.14188021312657,-652.4254021793749,0.15206133,0.24392131,0.037091
Pareto solution 2,-278.2546736943641,5306.2387227881445,609.0689171046888,-322.23715617766084,0.15206131,0.24392132,0.037091
Pareto solution 3,364.5288142231093,3715.224918668431,896.9229908878133,338.1393358257674,0.15206131,0.24392132,0.037091
