,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,28.13,1.648,72.425,0.424,0.918,15.021,182.005,2.13,80.467,124.322,2.071,5.647,2.248,5.819,0.158,19.312,0.15346943,0.2495149,0.038292907
Pareto solution 1,25.234217491619347,-14.488784009605297,91.67672277723614,-16.324780155016924,-15.583782765337673,5.570717268397857,256.04672320350073,-13.765781167021487,103.73972225564648,169.52221337112132,-13.854279957013205,-8.49028203101625,-13.588780483994924,-8.23227951019362,-16.723778749459598,12.007219990497106,0.15346938,0.24951492,0.0382929
