,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,161.494,38.006,59.73,39.391,392.69,35.339,41.654,30.873,24.256,35.562,0.17014581,0.25274223,0.04300303
Pareto solution 1,123.69675150659396,61.952749434808766,72.8147484412865,62.64524812245804,239.29474777710493,60.61924921724335,63.776747895912195,58.38624960761763,55.07775054066951,60.73074949857369,0.17014581,0.25274217,0.043003023
