,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,13.945,8.352,15.024,2.028,3.064,2.22,233.428,6.258,2.394,2.978,11.964,226.169,28.155,1181.125,23.058,149.238,117.059,89.137,2.075,59.621,2.945,2.201,77.322,9.895,3.038,25.148,2.052,24.453,2.064,1204.434,15.907,17.911,2.381,1.806,19.975,3.434,2.282,2.486,3.099,2.322,25.618,1.926,103.96,2.226,2.053,1219.753,3.13,2.445,60.957,2.624,2.378,3.221,1326.217,2.375,6.715,1329.844,1338.958,567.317,2.71,2.445,1347.41,577.078,2.521,2.055,2.032,11.649,2.883,2.501,1354.71,3.151,1369.567,1.622,496.993,2865.499,18.159,2877.664,2862.061,2.36,2859.06,5.209,3.213,21.608,1486.808,627.169,3.225,23.856,2.727,17.664,3.279,645.199,2.595,40.358,356.563,2889.605,2.974,1339.703,7.251,3.052,650.088,54.111,658.799,10.742,3.569,2895.862,3.124,3.487,32.118,3.16,2905.399,2919.873,15.777,3.998,61.816,16.207,1293.469,3.96,1284.874,2.834,0.17683247,0.29147026,0.051541407
Pareto solution 1,109.13169309054683,104.93692182018367,109.94092852892936,100.19393650213988,100.97092924639401,100.3379475938691,273.7439322768255,103.36643993274538,100.46844211051211,100.90643209180416,107.64592880103737,268.2996867463844,119.78918750107641,984.5166557451903,115.96644709053453,210.60144002290417,186.46718191402033,165.5256770949136,100.22920608544428,143.38868636411735,100.88169337657564,100.32368679821775,156.66442814555285,106.09418479897431,100.95144419887038,117.5339344462127,100.21193899169975,117.01268883387274,100.22092552856338,1001.9983968202978,110.60318775965516,112.10618972707653,100.4586995867503,100.02743700637711,113.65419203523106,101.24842938652637,100.38445108364886,100.53743694590867,100.99719170175194,100.41443464183249,117.88645084267773,100.11742886309366,176.64292626128645,100.34244527467581,100.21270674493098,1013.4877150870743,101.02044785901671,100.5066856344938,144.39068375362058,100.64093361137839,100.4564198597227,101.08869553226486,1093.3356631226234,100.45418131486076,103.70919321436577,1096.0558863604529,1102.8914081136718,524.1606947025689,100.70541899963519,100.5066856344938,1109.2304612103617,531.4814350271336,100.56367881018377,100.21417753656169,100.19694280023305,107.40966671664683,100.83517812046284,100.54869144346685,1114.7053948081775,101.03619121263182,1125.848182800426,99.88944733558401,471.41769206210984,2247.797301575418,112.29217427036292,2256.9210574150275,2245.218733221125,100.44291505096953,2242.9680690361492,102.57969583997965,101.08269470241157,114.87893493403863,1213.7789191910342,569.0496862137506,101.0916812392752,116.56492691298627,100.718188412573,111.92094057960549,101.13218389920166,582.5721679991539,100.61918942790999,128.94144139932268,366.0951781403718,2265.876766486079,100.90343756004404,1103.4501795036776,104.11118704128785,100.96194270953038,586.2389368404256,139.25618252823188,592.7721962056175,106.72944617852681,101.3496757408011,2270.5694624966854,101.01592958712718,101.28819665063747,122.76143382641112,101.04293920463351,2277.7222163551487,2288.5777646250863,110.50569192403873,101.6714320011015,145.03495226111954,110.82818358015447,1068.7746195230902,101.64293100088162,1062.3283986650204,100.79844657027752,0.17683244,0.2914702,0.051541384
Pareto solution 2,204.31837996359536,201.52186382229775,204.85786633373937,198.35987361026855,198.87786288993811,198.45587512158818,314.05986785180903,200.47487197522787,198.54287538812787,198.83486870898923,203.3278665151447,310.4303718120427,211.42337427622624,787.908355066691,208.87488066919832,271.96487595744475,255.87536859046668,241.91436733878436,198.3833827436938,227.15637351825353,198.8183723100592,198.44636792448728,236.00686803921053,202.29337051376933,198.8648728582557,209.91987223965043,198.37187526997513,209.57237712581264,198.37786433349538,799.5628373504296,205.29937444861207,206.3013718381153,198.53638037228666,198.2488700243157,207.333373376885,199.0628649444152,198.48687940916352,198.5888699840034,198.89537119351007,198.50687040900812,210.1548812095716,198.30886655651557,249.32586286092192,198.45887553651482,198.3723812222961,807.222390705836,198.91087922046427,198.56837303183784,227.82437177792235,198.6578677609832,198.53486251532377,198.95637963035188,860.4543639070907,198.53336819102697,200.7033741629748,862.2678382214217,866.8248448793456,481.0043780966935,198.7008619419321,198.56837303183784,871.0508881213609,485.8848706658755,198.6063665212423,198.37336959427194,198.36187388688631,203.17036238099536,198.78736802248386,198.59637690448653,874.7008516974602,198.921374789541,882.1293613371818,198.15688083256464,445.84237437533193,1630.0954326762876,206.42536545575058,1636.1779679462488,1628.3764184836473,198.52586127054383,1626.8759756936633,199.95037591338405,198.95237907711635,208.14987452592322,940.7498444200319,510.93036949589805,198.9583681406366,209.27386525644397,198.7093690007241,206.17787240646794,198.9853718749764,519.9453573528335,198.64337163867094,217.5248768750571,375.62736582956904,1642.148393594951,198.83286843237147,867.1973669835716,200.97137593075604,198.87187382641787,522.3898718747369,224.40136899994104,526.7453800792537,202.71687613908216,199.1303683970982,1645.2769203557982,198.90786703920458,199.0893744927671,213.40487182644938,198.92586952876445,1650.045391551219,1657.2824394196214,205.23437722486779,199.3448686485208,228.25387823308847,205.44937166227828,844.0803348407353,199.32586602065203,839.7828464244667,198.76288228341582,0.17683245,0.2914701,0.051541373
