,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,13.797,7.429,1.471,19.126,7.306,3.43,1.296,72.689,818.165,6.502,69.062,2.445,1.448,18.717,2.731,19.935,1.624,15.258,1.539,5.746,3.749,4.303,4.007,42.204,30.229,868.803,2.039,23.63,81.753,91.147,60.667,2.486,1.894,92.502,4.387,6.227,2.882,910.004,2.503,64.0,1.821,65.9,9.267,1.29,67.688,1.48,10.616,27.732,1.789,1.442,1.173,1.342,907.281,4.492,118.096,3.324,1.397,17.464,3.477,1.579,29.272,6.51,18.045,924.128,0.783,918.301,7.409,0.545,0.632,99.368,10.822,956.544,30.115,1699.15,136.777,8.585,12.191,180.072,362.258,7.679,8.286,13046.124,139.233,8.605,13163.677,13368.577,7.614,16.194,16.865,33.991,13411.163,185.494,81.874,13475.656,8.002,28.003,8.414,10.764,0.17695017,0.30431965,0.053849414
Pareto solution 1,-372.495888295598,-382.04774666941375,-390.9849107155969,-364.50243069844873,-382.2323546847474,-388.0463783322921,-391.24740837803984,-284.15782695254165,834.0560890257484,-383.43829829573224,-289.5983797280496,-389.52393712293997,-391.0193836140388,-365.11590935711865,-389.0948059791117,-363.2889325731958,-390.75523611514654,-370.3043844898639,-390.8828813562286,-384.57243060442124,-387.567752094983,-386.73692919248424,-387.1808220308594,-329.8854754844797,-347.84785274314345,910.0130938390157,-390.13281360625115,-357.7463504383195,-270.56187210735516,-256.470792660366,-302.1908866780359,-389.4622853398323,-390.350418350572,-254.43836782174913,-386.6108469543542,-383.8508442415696,-388.8683442180627,971.8146647295816,-389.43692995861056,-297.19136123549106,-390.45982855721377,-294.3413121859703,-379.29078312903584,-391.2563522282653,-291.6593727872896,-390.9713646900127,-377.2673889741418,-351.59332881718,-390.5079343147372,-391.0284142977616,-391.43192955987615,-391.17846258115605,967.7301364110144,-386.453330990189,-216.0473683131204,-388.205370465912,-391.0958839251907,-366.99542040692904,-387.9758695324563,-390.8228794095703,-349.28347095457866,-383.42631527310004,-366.1238725941803,993.0006053265515,-392.0169268314203,984.2601625685802,-382.0778778929889,-392.3738993389634,-392.2433885924693,-244.13939403686527,-376.9584353906248,1041.6246285788384,-348.0189147328929,2155.5335676972027,-188.02593822270865,-380.3138553946337,-374.90482317865826,-123.08333923305327,150.19561365568734,-381.67279962792236,-380.76235040836764,19175.99471037509,-184.34194026478508,-380.28398467155057,19352.323672738858,19659.67535189702,-381.7704004789266,-368.9002868379612,-367.89388660385157,-342.2048910853482,19723.554240544327,-114.9503402056871,-270.38039009792556,19820.29370325501,-381.1884423797892,-351.18694804965344,-380.57036154576053,-377.0454425549542,0.17695019,0.30431965,0.053849418
Pareto solution 2,13.796991624549264,7.429078805880636,1.4709766778833,19.125963355982094,7.306014031782979,3.4300055028779752,1.2959854723794706,72.68903251992015,818.1649769577047,6.50204438833498,69.06199733624817,2.444966309112715,1.4479875094639283,18.71697758353548,2.731039266082007,19.934969342275508,1.6240858420587756,15.257986925580553,1.538989014670733,5.745963418667088,3.7490751888344676,4.302964359958423,4.0070358010416385,42.203940734752905,30.229015326185618,868.8029797142917,2.0390414174471516,23.63001686273492,81.75299518058637,91.14705538137059,60.6669890848616,2.4860602617263794,1.8939643517751392,92.50200527378183,4.387019185378449,6.227020993901533,2.8820210095727816,910.0040278791846,2.5029710853323195,64.00000604655816,1.8210242140139599,65.90004236430104,9.267061735590687,1.2900156694377074,67.68799834535912,1.4800073616061127,10.615998408311498,27.73203127682791,1.788960945123108,1.4419742897734977,1.1729641150304815,1.3419421008438803,907.2810080956242,4.49202259203048,118.09600494620099,3.3240035110065946,1.3969945381541038,17.46397021699522,3.477004133310402,1.5789975485677132,29.271936518562143,6.510033070089776,18.044994856036283,924.1279873726489,0.7829731701258424,918.3010255340014,7.408998559621978,0.5449842623056611,0.6319914266350679,99.36798417897535,10.821967463989495,956.5440037786891,30.114981235810774,1699.1499695225411,136.7769619578712,8.585006322400659,12.19102779971763,180.0720243329124,362.25799292540614,7.679050736333011,8.286016882702825,13046.123941627011,139.23296059648692,8.604934610038981,13163.676698980853,13368.577702641633,7.613990738454959,16.194052026849022,16.864992752380203,33.99098976471578,13411.163628406503,185.49402730255224,81.87399765912232,13475.656603546959,8.001962804546565,28.00295178851229,8.414009457774227,10.76396268776989,0.1769502,0.30431962,0.053849418
