,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,Node_134,Node_135,Node_136,Node_137,Node_138,Node_139,Node_140,Node_141,Node_142,Node_143,Node_144,Node_145,Node_146,Node_147,Node_148,Node_149,Node_150,Node_151,Node_152,Node_153,Node_154,Node_155,Node_156,Node_157,Node_158,Node_159,Node_160,Node_161,Node_162,Node_163,Node_164,Node_165,Node_166,Node_167,Node_168,Node_169,Node_170,Node_171,Node_172,Node_173,Node_174,Node_175,Node_176,Node_177,Node_178,Node_179,Node_180,Node_181,Node_182,Node_183,Node_184,Node_185,Node_186,Node_187,Node_188,Node_189,Node_190,Node_191,Node_192,Node_193,Node_194,Node_195,Node_196,Node_197,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,12.404,21.591,12.652,14.999,150.995,110.538,31.96,137.765,18.241,170.707,16.559,10.258,1333.726,73.686,10.451,27.181,21.889,8.819,10.007,32.639,15.831,66.482,14.459,7.141,13.286,8.184,22.718,441.471,7.367,7.295,8.992,29.03,11.567,7.318,12.903,193.099,8.09,11.309,9.138,292.098,7.591,9.188,39.637,20.687,86.926,7.199,6.961,11.708,28.754,558.625,7.133,6.131,7.38,53.211,26.434,8.346,60.364,5.635,58.091,76.942,612.616,88.704,651.632,4.978,5.722,27.956,4.763,5.714,12.611,5.943,5.487,4.312,15.56,124.726,4.953,6.954,143.221,5.587,149.88,5.608,4.135,23.719,4.01,34.4,4.521,50.803,3.907,4.505,3.469,14.844,3.536,5.037,26.442,93.378,2.493,145.683,3.445,72.298,49.466,291.605,3.176,302.987,364.13,3.931,381.025,36.862,2.693,4.021,389.555,649.603,2.355,678.137,637.939,668.132,3.371,617.392,3.399,2.895,2.348,30.526,22.236,107.146,5.278,107.889,10.764,120.245,3.785,57.185,3.395,56.705,13.546,3.277,9.192,3.568,3.598,133.205,4.253,115.584,15.754,3.804,4.612,78.429,37.167,21.073,4.49,4.519,4.732,6.036,65.215,52.184,5.655,43.158,18.014,7.466,5.864,5.526,28.765,7.263,8.073,8.683,11.46,11.433,47.628,9.377,7.972,32.939,8.736,46.531,10.254,10.244,8.981,48.062,8.254,315.104,78.962,27.538,94.906,188.417,40.527,255.74,8.85,2324.809,8.601,8.198,2334.345,8.061,10.984,9.472,32.645,1834.148,1826.312,2329.11,40.478,23.026,6.965,7.487,8.654,72.35,0.16315565,0.38622126,0.06301418
Pareto solution 1,12.404001993376369,21.59099800718036,12.652001054909533,14.999004583417218,150.9949961038319,110.53800195305286,31.960004746139703,137.7649998906184,18.240994611335964,170.7070025741943,16.558999729804782,10.258008430333575,1333.725951381226,73.68599802008578,10.451008366957467,27.181002985664236,21.88900416143042,8.819001597032184,10.00700221850093,32.63900247192146,15.831006333363575,66.48199799021972,14.458994687121958,7.140998171985075,13.286005412865052,8.183999374955647,22.718004184251868,441.47101823065896,7.367000837459273,7.29500277185798,8.992000865839145,29.030001816514414,11.567002788063064,7.317997032037965,12.902999131980323,193.09900091488305,8.089996778533532,11.308997969446864,9.138000860045622,292.09799111752295,7.590999639929578,9.188007952762518,39.63700050413024,20.68700361480728,86.92600219354699,7.199004447193829,6.961000296394559,11.708005326902594,28.75399748149789,558.6250058927717,7.133001701080502,6.130988851515667,7.379994763730792,53.21099766249938,26.43399322759069,8.346000445733125,60.36399815870209,5.635004286385765,58.09100198197416,76.94200288688899,612.6160494201349,88.704004212401,651.6320159271881,4.977992110313835,5.7220055644370404,27.955996324522857,4.763001200805547,5.713995535596041,12.611001855154655,5.943010774544291,5.487003140762681,4.311996445565455,15.559994030539428,124.72599805628283,4.953002121891814,6.954007112785575,143.22099297175865,5.586992921910905,149.88000564791872,5.608005011785281,4.13500029709985,23.719000188584687,4.0100042580058926,34.39999944901206,4.520997458760348,50.80299968959446,3.90699376862176,4.504990959014776,3.4690019207641853,14.843996696248723,3.5360052425858157,5.036996249643607,26.44199783325712,93.3779997552503,2.4930040396152435,145.68300000126527,3.444998950114041,72.29799749941594,49.46600548155618,291.6050028563434,3.1760067798174987,302.98700166178605,364.1299976568662,3.93099945085919,381.0249815155389,36.861998682705234,2.6930107177845457,4.020997032860805,389.55498433438197,649.6030327786839,2.354997804726054,678.1370223972945,637.9390099144512,668.1320028660002,3.370997021508856,617.3920331839618,3.3990077181667857,2.8949995662594574,2.348010044291641,30.526003502967114,22.236000563165362,107.14600318807462,5.278002127567788,107.8889997969658,10.763998752546513,120.24500245005743,3.785007591414569,57.18499830342262,3.394989145809859,56.705003968514575,13.545992401786862,3.277007983023168,9.191999409246591,3.568007395727818,3.598002974278643,133.20500176514807,4.25300586417211,115.58399981663442,15.753997254458909,3.8039968371740542,4.611992904882982,78.42899803617331,37.16699802056428,21.073003488055065,4.489993169739364,4.519001730518312,4.731996911784563,6.036001948908961,65.21499798477885,52.18399346871888,5.6550049542026954,43.15800744053956,18.014002216502604,7.4660063124229055,5.863995121048447,5.5259930543390965,28.76500381428923,7.2629979071286925,8.073003261016083,8.683001936734172,11.460000842194859,11.432993432832518,47.62799806976727,9.37700287496591,7.972002057810414,32.9389962196517,8.736005333401408,46.53099831759573,10.25399528115122,10.244008505179181,8.981002667809662,48.06199710534713,8.253993577553047,315.10399518204076,78.96200119092316,27.537999721307642,94.90599749377361,188.41700483374825,40.52700175031714,255.74000110362613,8.850000462878597,2324.809086765057,8.601003537224415,8.197996588522756,2334.3450667740763,8.060993640929155,10.98399796377089,9.471995200747187,32.645003214583994,1834.148018257296,1826.3120516273193,2329.110141439025,40.47799794489583,23.026005249235823,6.964991752878632,7.487004844360854,8.653993375955224,72.35000167616852,0.16315565,0.38622117,0.063014165
Pareto solution 2,41.36080941739556,48.25105710564537,41.54680939144225,43.30706068202937,145.3040550002372,114.96130955662713,56.02781080407124,135.38155779795852,45.738554558762075,160.0880596835348,44.47705771971687,39.75131424511346,1032.3522768814573,87.32230677637602,39.89606419758138,52.44356016161146,48.4745610434361,38.67205912013742,39.56305958623898,56.537060454201196,43.93106199448914,81.9193070929249,42.90205393770475,37.413555873455266,42.02231198201207,38.19580813147684,49.09631038265536,363.1610715953575,37.583058550457736,37.52906000125677,38.80180857174264,53.83030928474909,40.73305933551376,37.546305696391755,41.73505727134852,176.88205826957716,38.12530550626343,40.53955639944843,38.91130924529432,251.13130193840232,37.751057652310465,38.94881320903835,61.78555796151255,47.57305995557192,97.25230956752353,37.45706057986183,37.2785581446592,40.838811239643405,53.62330535558988,451.02655963035477,37.40755919817366,36.656050916793674,37.592803995161375,71.96605650818623,51.8833028430563,38.31730893455995,77.33080654138985,36.284060459255784,75.62606008674072,89.76431008753002,491.5198422758772,98.58581091218983,520.7818171561671,35.79130268299548,36.34931073989742,53.024805165755424,35.63005814507062,36.34330457406031,41.51605999162609,36.51506464747786,36.17306027793529,35.29180525653737,43.727804123164674,125.6023064645754,35.77256019167896,37.27331257905564,139.47355273591938,36.24805329169328,144.46781198882812,36.26381168120224,35.15905950098181,49.847058063801796,35.06531043797088,57.8578068312255,35.44855533853672,70.16005802850754,34.9880532488296,35.436552497418006,34.65955800714278,43.190805444549824,34.70981185430264,35.83555578749281,51.88930629730612,102.0913075693268,33.92755959628107,141.32005775383803,34.641558490742455,86.28130604692524,69.157311694582,250.76156074251764,34.439812329329584,259.2980591687028,305.1553061650129,35.00605683261085,317.8265454148111,59.70430693439221,34.07756460490805,35.073556374905706,324.2240475289434,519.2600852179635,33.82405695380464,540.6605720087468,510.51206535820165,533.1568073602762,34.586056366391745,495.1018328103346,34.60706303309155,34.22905691916105,33.81881409978837,54.95231122748544,48.7348083447373,112.41731039815635,36.016310195935944,112.97455785482474,40.13080766466999,122.24155975990635,34.89656293802739,74.94655664993024,34.6040504596175,74.58656089874921,42.21730222370343,34.515563231733836,38.9518068014014,34.7338121133655,34.75631015307226,131.96155922504005,35.24756164259554,118.74580770010199,43.87330518531064,34.91080555024382,35.51680327892234,90.87955678844168,59.93305643778649,47.86255986050776,35.425303477564626,35.447058542355194,35.606806284098525,36.584809384045,80.9690557330506,71.19580370179926,36.29906096011848,64.42631316381954,45.568310262637056,37.65731265668046,36.45580561894326,36.202303391014425,53.631560783080204,37.50505567481298,38.11255969022852,38.57005869701709,40.652808554009425,40.63255299698767,67.77880647468874,39.090560078587714,38.03680878782427,56.762054409205234,38.60981192241434,66.95605666056008,39.748304383226696,39.740813623350846,38.79355992322053,68.10430609032204,38.248303105528066,268.3858056646875,91.27930847660724,52.71130771334401,103.23730604269349,173.37056154767447,62.453059235101136,223.86280875008288,38.69530826952223,1775.664612149807,38.50855989738477,38.20630468585853,1782.8165863102222,38.10355315306015,40.29580639519145,39.16180432292367,56.54156033330128,1407.668810768986,1401.7918466428528,1778.890403155283,62.416306381035156,49.32731185929015,37.281551737022255,37.67306155563392,38.54830363222652,86.32030884054126,0.16315565,0.38622117,0.063014165
