,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,2.867,0.925,13.54,27.588,8.433,5.726,2.822,101.384,106.567,21.318,65.551,3.309,420.104,2.777,2.873,3.814,0.545,0.906,14.098,0.808,6.246,7.258,2.677,4.09,114.978,14.362,3.279,3.429,9.351,1.797,1.283,1.174,29.801,1.439,799.595,69.769,1.178,809.399,7.443,69.857,1.511,2.285,1.511,3.634,101.604,8.821,150.247,62.616,5.881,3.236,2.521,2.159,0.1880318,0.31146652,0.058565605
Pareto solution 1,17.104031785054303,15.647529926500283,25.108781121252832,35.64478191509011,21.278529484961837,19.248280351964695,17.07028023562316,90.99178199481457,94.87903304529254,30.942280590442124,64.11703226723404,17.435532457511727,330.03177181810315,17.03653050280991,17.10853094204367,17.814279728211204,15.362528616790314,15.633279164644591,25.52727901921571,15.559780015646538,19.638280359451983,20.397280877086814,16.96153022189037,18.02127849315866,101.18727926067095,25.725278864645134,17.4130294060933,17.525530735781558,21.967030695284393,16.301531140818497,15.916030290320577,15.834278246220492,37.304531222636115,16.033030776998203,614.6499883018259,67.28052829065064,15.837282326681361,622.003008407155,20.53602991321668,67.34653199851692,16.0870309550387,16.667530598201665,16.0870309550387,17.679278980340314,91.15677873738605,21.569529872504063,127.63902095789945,61.915781069209146,19.36452936437263,17.380778383044344,16.844529735212745,16.57303134632457,0.18803176,0.3114665,0.05856559
