,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,32.555,465.331,47.72,26.293,62.129,2944.98,2979.325,40.131,0.1617216,0.25252125,0.04083814
Pareto solution 1,-165.50827273180766,375.4617195166916,-146.55200994452025,-173.33576540620834,-128.54068331396684,3475.0227170078924,3517.9543284214797,-156.03828199641066,0.16172163,0.25252122,0.040838145
Pareto solution 2,32.55497849424137,465.33097414319036,47.7199887240713,26.292980654421626,62.12904632821483,2944.9797776866,2979.3250668174696,40.13097108255897,0.16172162,0.25252125,0.040838145
