,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.625,11.231,41.169,1.425,44.008,2.825,2.666,1.095,0.613,26.702,29.221,0.681,40.513,0.496,42.327,0.531,0.4,2.183,0.846,26.77,30.322,0.491,2.482,2.174,31.111,0.486,3.293,3.004,0.778,0.489,3.948,5.395,8.458,0.419,0.376,0.656,2.837,3.869,0.73,0.615,1.354,0.012,0.16562484,0.27258176,0.04514631
Pareto solution 1,-3.581856234679435,12.32714314344912,57.23414413106366,-2.3818566018635465,61.49264243824291,-0.28185724443574145,-0.5203571134061349,-2.8768557040202722,-3.5998572575172147,35.533641574071225,39.312144672265276,-3.497856990175933,56.2501435033264,-3.775356863799061,58.97113917104434,-3.722856506673452,-3.9193575827030145,-1.2448564024252846,-3.25035743909757,35.63564515865619,40.96364439084209,-3.782856322452062,-0.7963559342633744,-1.2583567548981591,42.14714073634241,-3.7903566104159836,0.4201436686244051,-0.013357882231503027,-3.352357706438852,-3.7858559400510785,1.4026432435957759,3.5731431516760495,8.167643620062563,-3.890856654302297,-3.955356311134892,-3.535355942062779,-0.26385705090888223,1.2841430061826031,-3.424356821924448,-3.5968576399181984,-2.488356710258813,-4.501356376273179,0.16562484,0.27258176,0.04514631
Pareto solution 2,2.728428506596515,10.682928325240624,33.13642920778739,3.3284283230044593,35.26567753206609,4.3784281572141595,4.25917817089703,3.0809287719260965,2.7194282025053553,22.28617772196344,24.175429271060466,2.7704283361759963,32.6444284792633,2.631678295700567,34.00492672777773,2.6579284742633718,2.5596780399124555,3.8969284227235903,2.8941781117151777,22.337179306928192,25.001179130348874,2.6279284627102015,4.1211787604684105,3.8901782983190856,25.59292751042676,2.624178422392106,4.7294285619123,4.512677890148211,2.8431779780445368,2.6264287575745584,5.220678349397986,6.305928303438122,8.603178524673396,2.573928400448949,2.5416785720326516,2.751678756568708,4.387428253977589,5.161428230691399,2.8071783166378736,2.7209279076409985,3.275178372470691,2.268678435799643,0.16562484,0.27258176,0.04514631
Pareto solution 3,4.831856753688498,10.134856719171125,25.103857566695297,5.231856631293795,26.52335589667382,5.931856624430793,5.852356598998085,5.066856930574886,4.825856689179545,17.870356437927512,19.129857470658862,4.859856778293306,24.775856804575596,4.767356682200443,25.682855913355525,4.784856801242313,4.719356580784279,5.610856697773215,4.94235662865276,17.904357356352193,19.680357376851134,4.764856724430956,5.760356992045672,5.6063566493915005,20.074856435121546,4.762356766661469,6.165856859674932,6.021356480941449,4.908356539539,4.763856990116437,6.493356717998722,7.216856687358813,8.74835682621034,4.728856752032698,4.707356866421833,4.847356989445871,5.937856688939746,6.453856638860998,4.8843566961586475,4.826856423494064,5.196356733380526,4.525356706490584,0.16562486,0.2725817,0.045146305
