,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,19.393,664.076,44.25,6.012,6.173,947.234,6.819,32.402,5.594,959.579,8.959,6.695,5.932,4.664,6.488,52.825,5.729,1308.454,1314.532,344.356,4.783,6.732,5.731,83.616,15.389,324.856,318.103,295.439,7.045,306.477,1333.817,5.481,1326.828,209.603,74.921,6.441,5.415,6.545,6.369,1345.949,1353.389,7.142,32.435,199.715,97.311,81.213,4.888,88.45,6.563,109.627,5.448,47.549,40.867,1482.314,8.538,7.492,6.036,56.031,5.206,0.17962897,0.33529752,0.06022915
Pareto solution 1,19.392999223218794,664.0759902026016,44.24999993133201,6.012006460841803,6.173013789157267,947.234062271561,6.819002203216314,32.40198348370677,5.593995865148372,959.578964852607,8.958995536134807,6.695010513171383,5.932017645699034,4.664004699004636,6.488001091051501,52.82498746382544,5.729006661383664,1308.4538562475846,1314.5319631277034,344.35598888595814,4.783001684969349,6.731992719687696,5.730999193935077,83.61600419137653,15.388998374804942,324.85598716376387,318.10299513282735,295.4389938039458,7.044987489030518,306.47699060702746,1333.8169769396336,5.48100322224127,1326.8280018567839,209.60299995173284,74.92100334759016,6.441002730971377,5.414995566712605,6.5449888592920615,6.369004105086788,1345.9489058736071,1353.388968929774,7.14199975342126,32.43500068417279,199.7149936450163,97.31098798937205,81.21298653214535,4.888004138618271,88.44998845636542,6.5630152611665835,109.62699884842255,5.447999394476938,47.54899194678978,40.867007290225274,1482.3138218817585,8.538002827965101,7.492023533736301,6.0360037740197185,56.03099239810035,5.206006984742999,0.17962901,0.3352977,0.060229197
Pareto solution 2,78.44271770965042,561.9549626157752,97.0854690765292,68.40697313786768,68.52772863410428,774.3235116527317,69.01221827306085,88.19945757660412,68.09346686268532,783.582195274867,70.61721661592514,68.91922450552715,68.34697985492289,67.39597348807752,68.76396743893724,103.51671056169312,68.19472495986179,1045.2383671642756,1049.796933951663,322.16495995670493,67.48521955596334,68.9469628320021,68.19621601609992,126.60997059997487,75.43971707334003,307.53995908295616,302.47521464185684,285.47721364519566,69.18171058059693,293.75571082961,1064.2607009969615,68.00872070891728,1059.0189629984734,221.10021783813903,120.08872080292895,68.72872034046486,67.95921496727078,68.80670993670537,68.67472137105142,1073.3596476974417,1078.939688303216,69.25446810730227,88.22421713377821,213.6842139438955,136.8812084484715,124.80770986293305,67.56397139620003,130.23546047030425,68.82022973811127,146.1182182643471,67.98396783809403,99.55971308812252,94.54822292411143,1175.6333480762569,70.30147041321015,69.51698427095084,68.4249694511634,105.92121259081159,67.80247353079358,0.17962903,0.33529752,0.060229167
