,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,2.247,3.56,431.227,13.575,368.716,8.227,5.79,14.899,7.425,304.087,1.959,2.705,9.75,297.336,30.292,1.802,366.782,5.019,355.569,7.072,7.724,12.934,4.038,0.1670932,0.26647967,0.044526942
Pareto solution 1,50.313402439014226,50.969899969425114,264.8034020033192,55.97739833059859,233.54790435710947,53.30339749376071,52.08489891405634,56.63940033255312,52.90239994740523,201.2334050025711,50.1693977699947,50.54240127762614,54.06490129080703,197.85790002439808,64.33589944449227,50.09090180765725,232.58091250090638,51.699398149484296,226.9744021594779,52.72589966268379,53.051899929113915,55.656897956284865,51.208900277131306,0.16709308,0.2664796,0.0445269
