,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,14.33,13.034,8.763,379.208,12.291,10.809,355.475,597.523,648.974,305.751,582.952,173.534,124.811,74.791,115.888,14.21,12.658,11.307,29.777,855.336,0.1544413,0.2816277,0.04349495
Pareto solution 1,-87.04058191369404,-88.98456690508829,-95.3910695646191,460.2764534999005,-90.09907102750367,-92.32203659438164,424.6769412407157,787.7489646149697,864.9254924882116,350.090949484822,765.8924751397644,151.76543418083747,78.68093999124903,3.6509347257833724,65.29643915580527,-87.22056739271648,-89.54853990401898,-91.57505677745212,-63.87005662367301,1174.4684532176616,0.15444137,0.2816277,0.04349497
