,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,12462.571,566.446,10.75,247.824,6.588,189.608,22.984,16.106,270.492,194.284,173.914,162.691,10.223,32.275,1.188,13.73,7.937,11591.443,64.304,167.101,42.586,13.514,0.17602137,0.28789365,0.050675433
Pareto solution 1,9645.434667160669,723.3409136926493,306.568924261147,484.374397667616,303.44743356150866,440.71245688407,315.74441300765375,310.58584612463073,501.37539730632943,444.21944192730007,428.94188815695816,420.5247227495429,306.1736401530361,322.7126804858626,299.3973849752656,308.8039300569444,304.4592044465262,8992.089094549752,346.7343982471539,423.83209117133083,330.44589153556626,308.641977190121,0.17602132,0.28789362,0.050675415
Pareto solution 2,18096.84349506977,252.65619261967367,-580.8878118040739,-225.276839430393,-587.1307676426077,-312.60072099748504,-562.5368343110604,-572.8539680771064,-191.27481459222327,-305.58675091102486,-336.1418584517087,-352.97616370579635,-581.6783544595528,-548.6002993546426,-595.2308648150938,-576.4177490909933,-585.1071747510869,16790.152145361993,-500.55683827131725,-346.36145242296334,-533.1338005730067,-576.7416548246401,0.17602138,0.2878936,0.05067543
