,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,26.837,7.878,32.536,54.213,8.972,101.99,9.006,1059.785,24.037,5.45,41.303,35.412,56.317,3.657,8.271,410.234,13.578,4.97,37.778,4.349,4.703,370.967,4.517,4.364,20.796,160.446,13.418,10.303,2.883,4.56,3.692,27.016,13.746,118.12,4.542,4.208,2.063,110.411,3.782,3.571,2.063,102.834,6.009,30.1,21.558,93.13,4.27,57.367,4.752,3.798,4.709,45.7,2.826,3.877,2.323,4.499,3.712,2.177,9.751,10.91,7.401,20.779,3.068,31.481,14.597,2.461,4.564,3.582,4.867,15.696,3.212,37.777,3.803,56.776,62.397,3.426,67.052,4.05,88.734,21.508,4.432,4.068,92.713,3.736,5.127,13.384,4.149,6.859,3.081,113.815,3.461,124.105,3.618,18.497,10.48,0.1741832,0.41194263,0.07175349
Pareto solution 1,22.70466803437739,-0.9940866090264535,29.828417706765777,56.9246686321037,0.3734199488390004,116.64591634929093,0.41591902122672764,1313.8897128425306,19.204668205191865,-4.029082423877298,40.78716957964798,33.4234166728495,59.554669682149324,-6.270331894600531,-0.5028326192777968,501.9509100281284,6.130915162611018,-4.629077834301825,36.380917445929185,-5.405335259918502,-4.962831516836559,452.86717524124106,-5.195331818766135,-5.386582191811613,15.153417528122645,189.71590386461685,5.930918511389791,2.0371681415344938,-7.237833781771769,-5.141582724434556,-6.226580950328753,22.928417965560584,6.340918376398349,136.80842940425646,-5.16408276832226,-5.58158545212882,-8.2628317390554,127.17218354673423,-6.114080730890237,-6.377835994754605,-8.2628317390554,117.70092012500572,-3.330332374584941,26.783417944046732,16.105919234458725,105.57091682645932,-5.504081258914994,60.867167770752985,-4.901585287832859,-6.094084430770636,-4.955334382164438,46.28341861640206,-7.309080889215693,-5.99533524866365,-7.937832974567755,-5.2178318626538385,-6.201582619433793,-8.120331612676637,1.3471666440682384,2.7959184594374165,-1.5903318605596724,15.132166400373535,-7.006582168615751,28.509668784930682,7.404668430288893,-7.765332941248744,-5.136586605150114,-6.364084957423074,-4.757832834839974,8.778417067831924,-6.826581817514125,36.379668416108075,-6.087830528111226,60.12841920973051,67.15466588777008,-6.559085489359859,72.97341915352763,-5.779083816342791,100.0759222762872,16.043415222080057,-5.301584047036158,-5.7565837724550875,105.04966292977042,-6.171582712493546,-4.432834525082399,5.888416483256606,-5.65533084658,-2.2678282810875316,-6.990327387516118,131.42716011633274,-6.515334545088081,144.28967853609538,-6.319084869647668,12.279666040521079,2.2584156931397956,0.17418316,0.4119426,0.071753465
Pareto solution 2,35.1016647296201,25.622163417934644,37.95116432573741,48.78966510512964,26.16916549540474,72.67816405558551,26.18616512435983,551.5756826528814,33.701664525107844,24.408165091994306,42.33466534772833,39.38916404858992,49.84166538872887,23.511664758028928,25.818665013834107,226.8001615271205,28.472164126589632,24.168165836472326,40.572164562450325,23.85766341190174,24.034664363458432,207.1666632469569,23.941664788362687,23.865164639144496,32.08116479995624,101.90616124442022,28.392164374748972,26.834664772482938,23.124664003160433,23.963164426095318,23.529164590061555,35.191164702093374,28.556164593590438,80.74316927757172,23.954164408540237,23.787163880693697,22.71466482024698,76.88866984321066,23.57416467783696,23.468663663643383,22.71466482024698,73.10016447451926,24.68766402035908,36.733164829906855,32.46216493681459,68.24816370077679,23.818165557979228,50.36666489700838,24.059163400735997,23.58216428923697,24.037663763003366,44.533164962429964,23.096165160182863,23.621663962079765,22.844664871718123,23.932664770807605,23.539165013771708,22.7716643251224,26.55866362782035,27.138164353968023,25.38366477164527,32.072664076018555,23.217165194098925,37.423665166260434,28.981664615146656,22.91366379369356,23.96516341948518,23.474164078575996,24.116664927609236,29.531164070163868,23.289165334539575,40.57166481410286,23.58466530462465,50.0711649269233,52.881664143815215,23.396163320125197,55.209165450118235,23.70816453500811,66.05016588070794,32.437163877539206,23.899163897054677,23.71716455256319,68.03966268777731,23.551164430871722,24.246663160160097,28.37516383633374,23.757664631561056,25.112665657758043,23.22366601518661,78.5906626537544,23.413663152157824,83.73566783895512,23.492164113686158,30.931664477753657,26.923164338801143,0.17418325,0.4119425,0.07175349
